place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,2390,7906.0768,588,17003.34452,851,47411.39598604,334001,15029592.7162415
ชัยนาท,21,32.6,9,14.5,1,2.0,1472,11480.335873
นครปฐม,99,138.51,27,133.02,27,471.705308,15380,161873.63742575
นนทบุรี,421,750.869,123,331.8825,101,1222.9084,54035,645117.02008553
ปทุมธานี,365,1818.844,71,95.419,87,551.96,46975,581638.57666415
พระนครศรีอยุธยา,70,149.05,11,15.32,30,2483.6902,10850,244728.02362626
ลพบุรี,21,31.95,3,11.0,4,6.19,3783,21676.517516
สมุทรปราการ,370,862.0679,123,524.3,124,36036.60998,53585,1077356.08721037
สมุทรสาคร,118,207.3,14,33.6,60,1779.862183,19208,253526.3472665
สระบุรี,59,92.75,5,9.1,13,43.6,7674,108549.182433
สิงห์บุรี,16,45.5,2,1.2,6,11.2,1133,9898.325801
อ่างทอง,11,13.2,1,1.0,2,432.55,1455,9096.26785
เฉลี่ย,142,376.60371818181824,35,106.3946818181818,41,3912.934188272727,19595,284085.48379559634
กาญจนบุรี,68,119.97,6,11.0,13,168.8,5006,37163.29494632
ประจวบคีรีขันธ์,43,81.5,13,27.95,3,31.9,7175,34535.466831
เพชรบุรี,37,35.271,18,29.66,4,14.0,3425,35967.81244152
ราชบุรี,47,57.7,14,30.1,6,221.599789,6544,73879.330527
สมุทรสงคราม,13,11.6,2,2.0,0,0.0,1416,8602.02688
สุพรรณบุรี,35,112.53,12,21.0,4,47.0,4814,25840.617398
เฉลี่ย,40,69.76183333333334,10,20.285,5,80.54996483333333,4730,35998.09150397333
จันทบุรี,29,41.001,8,14.6,4,15.9,3886,32066.986248
ฉะเชิงเทรา,72,267.9809,10,16.6,18,496.4052,8111,218086.125434
ชลบุรี,778,4170.886,101,211.801,253,11331.5798,71844,956854.14508325
ตราด,7,15.6,11,20.5,0,0.0,1585,7932.266758
นครนายก,18,13.6,3,3.0,3,14.0,1655,14525.38123
ปราจีนบุรี,31,70.3,13,28.0,21,3926.4494,4603,231906.849905
ระยอง,182,938.71,21,143.0,59,3384.625,18513,841747.86309175
สระแก้ว,20,22.17,6,6.05,1,0.5,2603,12949.6731225
เฉลี่ย,142,692.5309875000002,21,55.443875,44,2396.182425,14100,289508.66135906253
กระบี่,36,62.3,6,20.0,10,19.8,4453,31781.07975
ชุมพร,16,25.5,4,11.5,4,17.0,2761,16614.242173
ตรัง,22,24.0,7,6.5,9,150.7,2942,22779.0991685
นครศรีธรรมราช,62,57.85,19,36.18,3,4.5,7180,33562.031756
นราธิวาส,12,22.0,4,8.0,3,8.5,1789,8617.5108
ปัตตานี,13,17.65,2,188.725,2,58.45,1786,9665.367262
พังงา,25,36.422289,1,5.0,2,12.0,2173,19329.683989
พัทลุง,13,19.8,6,10.3,1,4.0,2137,5715.843881
ภูเก็ต,221,518.91,76,217.58,77,1018.6573,31347,231084.029498
ยะลา,11,28.0,4,11.5,4,65.5,1872,12015.077797
ระนอง,29,35.5,5,14.2,1,0.5,1235,11568.037825
สงขลา,117,161.3,31,180.65,27,285.08,13528,135066.861871
สตูล,14,14.25,1,0.1,1,4.3,964,4433.80065
สุราษฎร์ธานี,206,514.85,29,51.8,42,152.94,24779,122728.5254025
เฉลี่ย,56,109.88087778571428,13,54.43107142857143,13,128.70909285714285,7067,47497.227987357146
กำแพงเพชร,20,34.0,6,6.0,4,17.5,2960,18892.925285
เชียงราย,86,118.2202,26,52.0,17,98.392,9284,50885.2244082
เชียงใหม่,322,480.1935,81,157.726,66,284.07,31944,214434.51159695
ตาก,27,36.74,7,8.3,5,24.0,3049,14287.86065
นครสวรรค์,40,48.05,14,13.4,2,4.5,5334,48241.871076
น่าน,15,31.8,0,0.0,3,5.9,2117,6048.23435
พะเยา,17,19.2,6,10.85,5,3.98,2324,6408.50581414
พิจิตร,26,56.12,5,4.1,7,135.05,2135,12267.494513
พิษณุโลก,84,93.7,6,7.0,9,26.604,5662,24403.9939704
เพชรบูรณ์,33,42.205,6,7.3,3,6.99,3381,17441.789633
แพร่,14,27.1,3,7.0,1,1.5,1974,8464.127123
แม่ฮ่องสอน,10,20.0,2,2.4,2,4.5,758,1819.7132
ลำปาง,37,53.9,14,27.5,7,21.6,4423,19861.56901375
ลำพูน,33,45.7605,5,9.0,5,24.495,3662,40241.056923
สุโขทัย,21,36.136025,7,7.6,3,103.0,1845,18973.19728797
อุตรดิตถ์,26,40.085,4,6.0,3,11.4,1788,13980.322758
อุทัยธานี,8,14.7,1,1.0,1,5.0,1057,7161.257729
เฉลี่ย,48,70.4653073529412,11,19.24564705882353,8,45.793000000000006,4923,30812.56796067117
กาฬสินธุ์,32,36.6,9,10.3,4,9.0,2847,10731.214718
ขอนแก่น,122,164.115,31,53.8,25,107.6,13149,102895.317377
ชัยภูมิ,29,53.01,6,10.0,4,35.5,3833,15416.775647
นครพนม,14,23.2,10,13.7,4,15.5,2321,6765.516147
นครราชสีมา,122,175.65,25,39.86,24,281.6501,16972,182061.316096
บึงกาฬ,11,14.5,4,2.6,2,11.4,1301,3071.360399
บุรีรัมย์,42,64.85,11,13.1,6,49.0,5005,267238.584961
มหาสารคาม,31,44.1,15,19.1,6,48.95,3374,12475.80621182
มุกดาหาร,16,181.3,6,4.1,3,5.7,1705,13595.120284
ยโสธร,19,26.015,6,15.05,3,6.5,1856,8687.513664
ร้อยเอ็ด,45,90.42002,13,14.00002,5,10.5,4229,22788.86368469
เลย,19,25.9636,4,1.2736,5,43.9,2379,9392.82579405
ศรีสะเกษ,19,29.5,14,22.1,7,167.2,3570,14957.249147
สกลนคร,32,60.02,10,21.13,7,15.8,3787,14355.9383
สุรินทร์,24,26.1,6,4.85,1,4.0,4282,22552.720826
หนองคาย,26,37.19,5,9.0,1,1.0,2572,10363.3498
หนองบัวลำภู,9,12.1,8,10.8,4,33.2,1472,13765.768357
อำนาจเจริญ,8,19.35,4,5.5,1,1.5,1219,3740.162702
อุดรธานี,83,114.0,17,32.65,10,32.76,8178,44749.00137
อุบลราชธานี,50,76.5,18,25.06,15,131.2,7587,54016.267269
เฉลี่ย,37,63.724181,11,16.398680999999996,6,50.593005000000005,4581,41681.033637728
เฉลี่ย ภูมิภาค,70,185.6866570263158,16,41.484041052631575,17,872.2013639473683,8302,101044.65370469568
