place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,2184,5780.711488,209,978.76908,578,39321.569225,325647,14990712.24
ชัยนาท,14,21.1,3,0.7,1,100.0,1424,11321.595873
นครปฐม,118,174.55,14,23.455555,36,329.34,14968,160189.05231975
นนทบุรี,418,582.9027,31,39.7,79,1149.95075,52527,599183.42636623
ปทุมธานี,374,620.368,33,129.4,72,1134.725,45472,571787.3782664
พระนครศรีอยุธยา,94,144.61,6,24.5,12,227.2853,10510,242044.71202526
ลพบุรี,38,60.12,2,1.1,0,0.0,3691,21506.958516
สมุทรปราการ,383,616.621,35,157.35,91,1516.6671,51968,1010593.84348237
สมุทรสาคร,130,240.303,10,74.3,34,780.4,18640,247287.57581225
สระบุรี,55,82.65,10,11.925,9,36.26,7490,101042.967433
สิงห์บุรี,2,1.5,0,0.0,0,0.0,1105,9942.295801
อ่างทอง,14,12.95,1,1.0,1,1.5,1413,6342.15785
เฉลี่ย,149,232.5158818181818,14,42.130050454545454,30,479.6480136363636,19018,271021.9967041146
กาญจนบุรี,49,85.5,7,9.0,7,108.7,4833,36972.54494632
ประจวบคีรีขันธ์,65,102.73,4,7.0,16,132.4,6943,33708.700631
เพชรบุรี,23,28.3,8,7.5,4,103.7,3362,35490.02131052
ราชบุรี,56,89.6,2,0.6,7,147.8796,6333,73556.335738
สมุทรสงคราม,15,24.0,3,6.0,1,20.0,1362,8307.05688
สุพรรณบุรี,39,59.45,8,20.5,3,10.0,4708,25601.582398
เฉลี่ย,41,100.79780743801652,8,14.20500458677686,10,142.0697466942149,7646,74147.44559961768
จันทบุรี,34,48.0,4,5.0,11,657.3,3735,31294.122248
ฉะเชิงเทรา,60,124.81,11,111.0,16,507.437,7808,220512.516834
ชลบุรี,760,2475.47,56,118.85,156,4685.91449,68523,904313.42988325
ตราด,10,11.7,4,7.5,2,92.0,1544,7796.596758
นครนายก,6,13.0,1,5.0,2,5.0,1585,14079.62123
ปราจีนบุรี,39,52.6,1,2.0,8,178.5,4457,212724.004105
ระยอง,165,420.76,18,141.85,51,3182.0391,17675,791668.41532975
สระแก้ว,17,18.9,5,8.0,5,12.3,2523,12800.4481225
เฉลี่ย,136,395.6549999999999,12,49.9,31,1165.06132375,13481,274398.64431381255
กระบี่,33,51.4,1,1.0,9,28.3115,4279,31846.75545
ชุมพร,24,37.038,3,5.5,4,7.8,2685,16322.787173
ตรัง,23,36.1009,2,6.0,4,8.75,2871,22409.065198
นครศรีธรรมราช,64,82.9,3,1.12,6,23.5,6964,33239.033716
นราธิวาส,15,17.9,0,0.0,1,4.0,1715,8419.0458
ปัตตานี,14,21.55,0,0.0,2,2.6,1708,9409.852262
พังงา,17,18.6,3,33.0,7,320.5,2101,19123.7706
พัทลุง,17,21.65,4,5.1,3,14.4,2080,5619.733881
ภูเก็ต,256,770.134,25,70.5,91,978.2,30313,224115.609523
ยะลา,16,43.1,0,0.0,3,24.02,1826,11833.257797
ระนอง,13,16.7,2,3.0,2,25.0,1189,11532.393325
สงขลา,112,208.00875,9,51.7,19,291.4,13025,134176.546871
สตูล,6,27.0,1,1.0,1,1.9,934,4441.55065
สุราษฎร์ธานี,286,720.59,9,16.0,57,298.9025,23667,118405.4914025
เฉลี่ย,64,148.04797499999998,5,13.851428571428572,14,144.94885714285712,6811,46492.49240346428
กำแพงเพชร,22,27.15,2,15.0,2,0.7,2882,18550.955285
เชียงราย,78,105.23,15,22.15,15,249.6,9051,50445.3997752
เชียงใหม่,314,486.6209,38,60.8,46,892.69,30853,208145.76176195
ตาก,21,26.15,9,9.62,5,14.0,2928,13991.22065
นครสวรรค์,41,63.06,11,9.8,5,17.2,5216,47642.851076
น่าน,19,23.0,2,3.1,3,4.35,2073,5690.38435
พะเยา,16,25.4,5,4.8,3,3.531299,2270,6316.01581414
พิจิตร,13,14.1,0,0.0,6,22.0,2058,11761.462013
พิษณุโลก,52,56.492,6,9.5,14,39.8,5429,22864.5124704
เพชรบูรณ์,25,26.52,3,2.0,5,11.0,3273,17272.184633
แพร่,13,17.05,0,0.0,2,7.0,1924,8336.968235
แม่ฮ่องสอน,8,23.0,0,0.0,0,0.0,736,1711.3132
ลำปาง,37,61.09,8,10.12,7,51.94,4328,19647.12451375
ลำพูน,24,28.0,3,1.35,4,26.9,3564,42204.123823
สุโขทัย,15,18.6,3,7.9019,1,130.0,1797,18918.34126297
อุตรดิตถ์,18,26.2,1,0.5,4,21.0,1723,13879.647758
อุทัยธานี,5,175.1,6,11.85,0,0.0,1035,7034.357729
เฉลี่ย,42,70.75075882352941,8,9.911288235294116,8,87.74772347058824,4772,30259.566138259408
กาฬสินธุ์,22,50.8,5,20.5,5,37.15,2761,10532.089718
ขอนแก่น,117,157.86,16,16.5,11,44.92712,12774,98206.404606
ชัยภูมิ,25,42.7,4,7.2,0,0.0,3719,15070.266647
นครพนม,16,18.54,1,0.01,4,7.2,2273,6662.506148
นครราชสีมา,140,198.311,21,21.5501,20,66.63,16527,195306.494996
บึงกาฬ,15,29.1,3,4.0,0,0.0,1279,3031.710399
บุรีรัมย์,43,45.0,8,12.4,1,0.5,4886,266704.342361
มหาสารคาม,38,63.0,3,2.8,6,16.946,3274,12193.62621182
มุกดาหาร,8,15.0,1,0.7,1,1.0,1655,13176.810284
ยโสธร,20,35.5,4,8.0,3,7.2,1826,8641.653664
ร้อยเอ็ด,33,52.75,6,7.0,6,9.604,4092,22478.80647769
เลย,20,38.13,7,3.306,6,9.1,2305,9257.95179405
ศรีสะเกษ,31,38.7,11,8.9,2,4.0,3487,14705.289147
สกลนคร,30,49.95,6,8.5,3,52.3,3671,14044.5583
สุรินทร์,29,108.7,6,7.86,3,4.9,4188,22325.280826
หนองคาย,12,16.1,3,5.0,4,4.1,2493,10231.6748
หนองบัวลำภู,11,15.6,1,1.0,0,0.0,1438,13677.358357
อำนาจเจริญ,17,26.1,5,4.2,2,1.2,1187,3637.862702
อุดรธานี,64,80.9105,7,5.09,11,50.3,7913,44401.39147
อุบลราชธานี,59,83.1222,9,17.3,9,35.7,7348,56466.709165
เฉลี่ย,37,58.29368500000002,6,8.090805,5,17.637856,4454,42037.639403678
เฉลี่ย ภูมิภาค,70,138.8658282894737,8,18.91392835526316,14,249.90856261842103,8028,97317.46929252724
