place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,2432,8278.19878,664,2146.739078,822,75961.76657,337533,15178164.9632883
ชัยนาท,20,37.0,2,2.0,0,0.0,1495,11524.345873
นครปฐม,129,273.451,34,71.1,27,875.631,15588,163356.31942575
นนทบุรี,446,633.355005,167,286.88643,110,1159.6825,54677,645502.14146053
ปทุมธานี,395,608.975,76,111.75,92,2740.54,47647,587591.12950715
พระนครศรีอยุธยา,89,124.05,21,32.25,26,1231.9389,10970,246465.30802626
ลพบุรี,24,29.5,3,4.2,5,27.54,3825,21631.057516
สมุทรปราการ,427,1736.095799,98,225.102,119,5257.2802,54232,1084984.29718537
สมุทรสาคร,146,485.716,31,135.0,66,1056.83,19401,255096.5410665
สระบุรี,62,115.605,19,23.5,22,943.2025,7759,109478.469933
สิงห์บุรี,13,15.1,2,6.0,4,465.55,1148,10388.285801
อ่างทอง,8,8.2,6,7.45,1,4.0,1467,9111.71785
เฉลี่ย,159,369.73161854545447,41,82.29440272727274,42,1251.1086454545457,19837,285920.8739676873
กาญจนบุรี,58,101.7,12,21.4,11,90.6,5108,37443.73324632
ประจวบคีรีขันธ์,51,94.21,16,22.6,11,26.0,7253,34739.296831
เพชรบุรี,33,46.7,13,17.5,3,8.0,3452,36006.00244152
ราชบุรี,63,102.78,10,19.2,9,161.0,6652,74400.384277
สมุทรสงคราม,13,14.35,5,11.0,3,6.9,1440,8616.17688
สุพรรณบุรี,45,151.85,11,12.65,5,23.7,4879,25969.017398
เฉลี่ย,43,85.265,11,17.39166666666667,7,52.7,4797,36195.76851230667
จันทบุรี,32,44.0,11,12.075,4,24.6,3925,32107.661248
ฉะเชิงเทรา,56,145.6,13,38.69,20,728.12356,8223,220630.564394
ชลบุรี,726,1910.709,132,459.46,203,9565.557729,73033,974959.50191225
ตราด,8,20.1,6,7.6,1,4.0,1591,7979.696565
นครนายก,14,31.5,5,14.5,1,0.5,1679,14562.39123
ปราจีนบุรี,35,76.4,9,23.35,9,57.0,4642,232241.793605
ระยอง,177,349.7705,30,582.0,68,4543.65312,18818,869397.48278175
สระแก้ว,47,50.7,9,20.13,3,9.4,2671,13043.7431225
เฉลี่ย,136,328.5974375,26,144.725625,38,1866.604301125,14322,295615.3543573125
กระบี่,35,59.35,1,1.0,12,90.5,4531,32224.47975
ชุมพร,29,42.8,9,9.6,5,49.0,2803,16771.492173
ตรัง,26,32.56,8,8.0,1,70.0,2970,23029.9791685
นครศรีธรรมราช,57,69.501,8,13.0,8,15.9,7289,33675.824756
นราธิวาส,15,20.201,5,8.6,2,6.0,1808,8670.5118
ปัตตานี,6,8.6,7,12.2,4,7.3799,1795,9709.137162
พังงา,19,34.17,2,4.0,2,4.0,2200,19374.753989
พัทลุง,17,22.2,2,7.9,2,4.5,2173,5769.043381
ภูเก็ต,246,571.77,64,229.5,91,1506.7935,31675,233459.723898
ยะลา,20,28.0,1,0.01,4,7.4,1897,12168.182797
ระนอง,28,30.8,2,1.5,3,151.7,1264,11750.687825
สงขลา,179,259.741,25,34.26,20,155.072,13805,136111.750871
สตูล,14,12.0,6,9.1,2,3.03,980,4448.69065
สุราษฎร์ธานี,241,559.17,40,72.05,40,206.95,25131,124031.2549025
