place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,2140,10846.007795,793,4994.69312,824,78269.5337465,338642,15248412.1600988
ชัยนาท,10,11.8,6,7.65,3,10.0,1496,11533.395873
นครปฐม,120,160.015,39,64.4,30,733.995,15669,164115.90442575
นนทบุรี,408,723.79,169,262.0363,107,907.87167,54947,647080.56683053
ปทุมธานี,332,512.391,87,226.535,89,3329.748634,47913,591834.93969515
พระนครศรีอยุธยา,87,119.53,17,110.9,20,1791.67,11039,242154.43052626
ลพบุรี,33,36.8,7,12.2,3,38.25,3854,21663.907516
สมุทรปราการ,346,626.273329,95,335.44,112,2719.846,54520,1087378.47959937
สมุทรสาคร,127,337.25,40,63.5,50,734.09,19103,254253.3800665
สระบุรี,48,132.8,15,13.214,12,356.5,7791,110170.040234
สิงห์บุรี,6,9.3,2,1.5,2,5.8,1153,10403.885801
อ่างทอง,9,5.7,2,1.3,4,32.0,1449,9011.26785
เฉลี่ย,138,243.2408480909091,43,99.87957272727272,39,969.0701185454544,19903,286327.2907652327
กาญจนบุรี,41,124.168168,14,44.5,10,136.1,5132,37649.85141432
ประจวบคีรีขันธ์,50,88.9,20,28.5,9,40.5,7288,34850.396831
เพชรบุรี,27,57.522,21,54.7,6,105.206,3455,35905.62844152
ราชบุรี,59,114.97,13,34.2,10,87.5,6600,74409.229277
สมุทรสงคราม,9,21.0,5,9.0,6,90.0,1449,8726.37688
สุพรรณบุรี,26,29.5,11,12.2,11,120.8,4780,25904.366398
เฉลี่ย,35,72.67669466666666,14,30.516666666666666,8,96.68433333333331,4784,36240.97487364
จันทบุรี,28,59.9,9,17.35,5,7.0,3838,31704.811248
ฉะเชิงเทรา,58,83.36,16,27.65,14,848.0,8272,221331.807644
ชลบุรี,691,1857.83,139,449.68,193,7693.197,73634,986179.45399025
ตราด,12,27.0,6,11.25,0,0.0,1599,8003.646565
นครนายก,14,22.0,5,5.0,3,14.0,1682,14585.84123
ปราจีนบุรี,36,79.1,9,12.6,9,828.6375,4678,232534.681105
ระยอง,133,248.31,36,1003.95,64,5126.24421,18932,873285.41799175
สระแก้ว,26,25.22,4,5.013,3,24.6,2614,12931.2772945
เฉลี่ย,124,300.34,28,191.561625,36,1817.70983875,14406,297569.61713356245
กระบี่,41,57.6,10,16.1,19,71.89,4559,32320.96975
ชุมพร,16,31.35,5,4.25,9,37.0,2810,16822.592173
ตรัง,10,13.0,5,3.3,4,100.0,2937,23079.6391685
นครศรีธรรมราช,40,61.32,13,21.8,10,232.0,7313,33958.344756
นราธิวาส,9,12.6,6,11.0,2,21.0,1808,8678.6118
ปัตตานี,11,14.4,6,9.09,1,60.0,1799,9774.447162
พังงา,17,33.7,6,20.0,4,12.1,2216,19412.753989
พัทลุง,18,16.1,2,6.0,6,14.0,2153,5728.997381
ภูเก็ต,235,766.79,80,334.65,93,782.973,31830,234654.896898
ยะลา,14,31.3,7,9.58,8,29.8,1879,12158.702797
ระนอง,6,7.81,1,1.0,2,12.0,1269,11774.497825
สงขลา,100,271.18,27,44.725,20,68.75,13878,136220.985871
สตูล,8,10.7,5,7.0,1,5.0,966,4446.09065
สุราษฎร์ธานี,195,566.4,37,85.1,58,243.15,24808,122760.5848025
เฉลี่ย,51,135.30357142857142,15,40.97107142857143,16,120.69021428571428,7158,47985.15107307143
กำแพงเพชร,28,49.4,8,10.0,5,10.02,3023,19100.545285
เชียงราย,101,154.24,30,52.3,15,268.0,9478,51635.7094092
เชียงใหม่,304,626.47,101,161.31,68,1231.2811,32499,217841.40021095
ตาก,45,75.112,7,7.0,2,11.5,3165,14485.85265
นครสวรรค์,45,72.0,28,60.45,11,43.5,5399,48320.050076
น่าน,18,25.82,3,1.7,2,8.0,2139,6083.97815
พะเยา,33,40.0,3,6.0,4,10.25,2320,6295.46581414
พิจิตร,8,16.3,5,4.8,1,40.0,2167,12356.262013
พิษณุโลก,38,50.25,19,9.85,7,15.15,5733,24739.6293454
เพชรบูรณ์,35,47.51,3,3.3,5,37.5,3467,17613.029633
แพร่,21,17.8,4,2.3,0,0.0,2018,8525.161323
แม่ฮ่องสอน,3,7.0,1,1.0,2,5.1,747,1798.3082
ลำปาง,29,33.302,10,12.45,7,25.3,4507,19922.26301375
ลำพูน,29,31.73,13,17.0,5,13.5,3723,40537.801723
สุโขทัย,17,16.5,2,2.1,1,120.0,1899,19341.85224797
อุตรดิตถ์,12,27.502,15,24.1,2,5.5,1788,14061.604758
อุทัยธานี,13,15.8,4,4.2,1,30.0,1064,7206.057729
เฉลี่ย,45,76.86682352941175,15,22.344705882352944,8,110.27065294117646,5008,31168.52774008295
