place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,1498,5992.291489,2229,8381.225463,1015,82898.292935,332668,15436655.9756899
ชัยนาท,1,1.0,11,12.1,2,5.0,1493,11540.225873
นครปฐม,113,100.605,78,363.716,44,483.8275,15548,163383.83092575
นนทบุรี,188,263.250099,354,588.67,105,2076.87228,53909,639914.30994053
ปทุมธานี,189,425.021,239,498.727,117,1524.954,46988,693980.36626515
พระนครศรีอยุธยา,115,77.3,60,186.2375,29,749.0785,10941,242648.28072626
ลพบุรี,10,15.372,25,28.45,4,10.0,3789,21702.261916
สมุทรปราการ,198,494.66,254,518.792,131,24657.8488,54646,1112755.73362937
สมุทรสาคร,69,106.6,87,152.72,68,1092.26,19125,257620.9893865
สระบุรี,30,58.4,31,41.5,10,3447.517,7707,114499.717334
สิงห์บุรี,4,2.65,10,7.1,4,13.5,1136,10068.035801
อ่างทอง,9,24.2,9,9.7,2,6.5,1453,9093.74285
เฉลี่ย,84,142.64164536363637,105,218.8829545454545,46,3097.032552727273,19703,297927.95405886904
กาญจนบุรี,18,32.0,44,79.55,11,69.0,5046,37850.94141432
ประจวบคีรีขันธ์,25,39.8,82,149.57,12,27.8,7087,34372.65183
เพชรบุรี,13,17.7001,26,32.01,0,0.0,3408,35953.03688152
ราชบุรี,31,55.1,64,94.46,15,204.5,6589,66233.549277
สมุทรสงคราม,6,7.2,9,14.5,2,8.0,1420,8540.67688
สุพรรณบุรี,34,146.89,34,129.4,14,119.874,4810,26069.679398
เฉลี่ย,21,49.781683333333326,43,83.24833333333333,9,71.529,4726,34836.75594680667
จันทบุรี,10,12.6,16,29.0,6,21.0,3850,31759.811248
ฉะเชิงเทรา,45,120.91,42,72.82,32,2010.3499,8183,228956.669844
ชลบุรี,633,1822.34101,258,703.26,227,43660.8314,73126,1036561.94580025
ตราด,11,17.8,15,16.2,2,5.0,1574,8021.896565
นครนายก,4,2.6,14,25.2,2,21.0,1659,14670.47823
ปราจีนบุรี,21,728.502,32,1093.4875,19,7246.1778,4614,240168.784505
ระยอง,109,644.5,84,489.35,68,8718.1741,18523,888533.90536775
สระแก้ว,13,11.8,21,39.6,1,2.0,2626,13012.8872945
เฉลี่ย,105,420.13162625,60,308.6146875,44,7710.566650000001,14269,307710.7973568125
กระบี่,21,34.0,20,39.8,12,37.4,4470,32162.81975
