place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,2020,7034.426648,269,2273.34157,716,265897.0692274,330699,15026750.8670307
ชัยนาท,17,15.42,2,1.5,1,1.0,1451,11402.135873
นครปฐม,91,158.076498,7,5.2,19,412.0,15231,160618.71531775
นนทบุรี,353,647.8451,32,53.3,78,714.615883,53486,599358.64136053
ปทุมธานี,326,540.292,31,51.1,85,1193.221942,46416,579080.15836415
พระนครศรีอยุธยา,72,114.8,6,6.0,23,758.6491,10734,240123.28862626
ลพบุรี,27,47.65,4,3.3,2,4.9,3746,21634.508516
สมุทรปราการ,348,940.02,34,87.22,87,5222.3612,52956,1037813.66560837
สมุทรสาคร,105,199.0,7,7.05,43,726.7,18958,249789.0150125
สระบุรี,39,81.8,11,19.0,11,155.614,7592,101390.882433
สิงห์บุรี,3,7.0,2,2.0,0,0.0,1112,9883.635801
อ่างทอง,7,9.75,1,1.0,0,0.0,1434,6538.61785
เฉลี่ย,126,251.059418,12,21.515454545454546,31,835.3692840909091,19374,274330.2967965964
กาญจนบุรี,32,48.55,7,34.0,3,153.05,4916,36864.27494632
ประจวบคีรีขันธ์,62,107.52,7,6.15,12,23.405,7100,34313.649131
เพชรบุรี,19,23.18,17,26.99,2,7.0,3400,35373.31144152
ราชบุรี,35,166.5,7,12.5,5,40.0,6437,74211.580738
สมุทรสงคราม,13,16.0,0,0.0,4,28.15,1396,8526.42688
สุพรรณบุรี,30,43.8,4,5.5,8,75.5,4786,25669.777398
เฉลี่ย,31,67.59166666666667,7,14.19,5,54.517500000000005,4672,35826.50342247334
จันทบุรี,35,72.2,0,0.0,5,26.5,3830,31947.135248
ฉะเชิงเทรา,74,781.62,6,15.3,19,694.0445,7987,226958.247334
ชลบุรี,688,3002.329,68,274.96,189,5804.2128,70569,929745.59218325
ตราด,14,16.4,3,7.0,3,2.5,1584,7914.696758
นครนายก,13,17.75,2,1.1,0,0.0,1630,14182.18123
ปราจีนบุรี,40,159.45,8,85.6,10,2201.671,4554,217783.247305
ระยอง,145,509.02,16,18.0,57,3983.300659,18171,813145.17988175
สระแก้ว,25,40.6,3,8.0,1,3.5,2579,12946.3531225
เฉลี่ย,129,574.9211250000001,13,51.245000000000005,35,1589.466119875,13863,281827.82913281245
กระบี่,38,83.1,2,6.0,12,23.2,4380,31582.97975
ชุมพร,15,18.105,0,0.0,6,117.8,2737,16549.192173
ตรัง,20,16.6,1,1.0,4,23.5439705,2911,22755.8791685
นครศรีธรรมราช,39,52.6,5,3.65,5,21.2,7097,33372.141256
นราธิวาส,16,19.865,1,1.0,1,5.0,1768,8574.8608
ปัตตานี,13,14.6,3,3.0,2,34.0,1766,9767.042262
พังงา,16,35.1,0,0.0,1,2.0,2141,19215.0707
พัทลุง,13,15.6,3,8.0,1,4.0,2110,5677.333881
ภูเก็ต,253,754.662,21,57.1,81,1056.975,30978,228274.264898
ยะลา,9,12.6,0,0.0,2,5.3,1851,11891.477797
ระนอง,11,17.005,1,2.0,2,6.2,1209,11575.798325
สงขลา,112,127.15,7,9.57067,23,96.0889,13317,134547.080391
สตูล,9,13.6,0,0.0,1,2.0,953,4466.15065
สุราษฎร์ธานี,244,587.775,19,683.7,49,659.01,24388,121377.2554025
เฉลี่ย,57,126.31157142857144,4,55.35861928571429,13,146.87984789285716,6971,47116.18053242857
กำแพงเพชร,20,28.712,5,3.2,3,5.5,2933,18635.187285
