place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,1622,5953.536874,793,5450.47757,715,208337.34308608,333656,15406537.5162294
ชัยนาท,10,9.8,6,15.5,2,18.48,1501,11544.925873
นครปฐม,86,324.85,42,60.6,28,233.04,15515,164251.36442575
นนทบุรี,260,355.76,190,448.085,79,1333.5725,54073,646201.82256153
ปทุมธานี,260,464.241,108,150.58,91,107800.74557,48075,699884.58626515
พระนครศรีอยุธยา,59,132.68,21,877.22,24,2154.65,10873,242681.88702626
ลพบุรี,16,26.644,8,18.8816,3,17.0,3802,21611.339916
สมุทรปราการ,270,426.59,137,516.8,115,2628.9082,54695,1090044.23079937
สมุทรสาคร,92,220.9517,49,205.54,42,1318.78,19130,256430.9493865
สระบุรี,49,95.63,20,25.95,15,970.7751,7701,111019.700334
สิงห์บุรี,3,4.0,11,11.3,2,2.9,1141,10394.185801
อ่างทอง,9,18.1,2,2.0,1,3.0,1455,9077.36785
เฉลี่ย,101,189.0224272727273,54,212.0415090909091,36,10589.259215454544,19814,296649.30547623266
กาญจนบุรี,28,108.25,22,40.15,6,122.6,5063,37825.94141432
ประจวบคีรีขันธ์,45,75.8,27,44.5,8,68.5001,7140,34591.42183
เพชรบุรี,10,18.29,18,18.1,1,2.0,3417,35813.11344152
ราชบุรี,39,61.55,22,31.09,17,551.5,6617,74960.139277
สมุทรสงคราม,6,7.5,6,4.9,1,3.0,1423,8542.97688
สุพรรณบุรี,37,44.2,10,9.8,12,90.201,4812,26026.365398
เฉลี่ย,27,52.59833333333333,17,24.75666666666667,7,139.63351666666668,4745,36293.32637347333
จันทบุรี,24,30.8,9,12.0,8,30.7,3855,31756.211248
ฉะเชิงเทรา,42,361.68,20,171.04,20,904.6807,8178,225182.448344
ชลบุรี,582,1406.377,122,1330.5,213,8217.3334,72703,989913.05639025
ตราด,10,17.0,10,14.15,2,46.0,1579,8015.796565
นครนายก,6,7.5,10,7.95,4,66.0,1665,14654.07823
ปราจีนบุรี,22,51.7,13,20.7,17,2718.4911,4633,235122.572205
ระยอง,122,660.6,37,97.01,62,4046.4424,18468,879045.17339175
สระแก้ว,20,32.66,3,3.0,1,0.8,2632,12960.4372945
เฉลี่ย,103,321.039625,28,207.04375,40,2003.80595,14214,299581.2217085625
กระบี่,27,53.85,7,20.2,12,57.7,4473,32131.61975
ชุมพร,22,25.06,12,11.61,3,31.0,2764,16723.672173
ตรัง,7,19.1,9,13.6,7,26.25031,2935,23105.0094785
นครศรีธรรมราช,43,55.35,19,21.3,16,35.86,7207,33815.804756
นราธิวาส,11,17.5,6,5.5,2,3.0,1770,8591.5118
ปัตตานี,11,9.65,8,9.05,0,0.0,1800,9767.947162
พังงา,15,21.5,2,6.0,3,27.0,2199,19391.353989
พัทลุง,13,18.6,6,11.1,4,8.5,2157,5737.847381
ภูเก็ต,198,439.12,69,237.3,65,1052.27,31272,233324.670398
ยะลา,10,18.2,2,2.0,3,4.0,1886,12149.902797
ระนอง,9,10.1,3,2.4,6,57.0,1274,11834.197825
สงขลา,80,103.39045,29,39.7,17,198.25,13754,136219.186321
สตูล,17,31.4,5,3.3,0,0.0,983,4475.46065
สุราษฎร์ธานี,146,390.17,40,80.0,59,659.14,24916,123809.0448025
เฉลี่ย,43,86.642175,15,33.075714285714284,14,154.28359357142858,7099,47934.08780592856
กำแพงเพชร,13,14.75,13,13.74,6,269.05,2980,19251.755285
เชียงราย,77,186.35,36,40.6,14,89.26,9376,51545.8994092
เชียงใหม่,230,1004.902,113,193.532,51,191.8589,32590,218052.77740095
ตาก,34,44.71,7,7.7,2,6.0,3127,14212.76265
นครสวรรค์,46,68.85,31,46.3,3,12.0,5349,48218.070076
น่าน,11,18.665,8,7.4,4,9.9,2143,6107.04315
พะเยา,15,14.5,6,9.5,3,10.0,2328,6309.46081414
พิจิตร,21,53.7,6,19.0,5,36.3,2167,12406.712013
พิษณุโลก,29,36.2,15,28.5,8,36.0,5688,24681.6793454
เพชรบูรณ์,19,30.05,10,20.7,7,79.0038,3429,17641.782433
แพร่,9,7.7,3,1.36,4,5.1,2008,8518.861323
แม่ฮ่องสอน,3,8.2,1,1.0,0,0.0,749,1804.4582
ลำปาง,38,87.84,12,28.42,5,24.29,4477,19900.27301375
ลำพูน,17,26.501,16,25.31,7,17.0,3688,40507.292723
สุโขทัย,16,20.15,5,12.9,3,65.3,1909,19385.80224797
อุตรดิตถ์,6,4.51,17,20.3,1,5.0,1777,14078.914758
อุทัยธานี,8,16.0,5,8.0,1,1.0,1067,7222.257729
