place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,2711,10111.41201,367,1101.437,637,34423.0680495,323822,14954347.6
ชัยนาท,7,15.6,5,7.375,2,4.0,1411,11191.195873
นครปฐม,156,339.73,25,47.79269,19,145.9861,14861,159724.45787475
นนทบุรี,451,797.04,79,97.611,86,514.9275,52128,597231.25042623
ปทุมธานี,392,1083.241,33,50.325,63,1029.4194,45119,563789.5472664
พระนครศรีอยุธยา,102,234.91,12,22.0,19,415.153717,10418,241585.41672526
ลพบุรี,31,62.8,8,8.9,4,11.9,3657,21446.938516
สมุทรปราการ,464,1244.45,61,105.45,93,9809.543398,51629,1010027.60108237
สมุทรสาคร,155,320.45,12,12.51,34,389.1592,18513,246813.32281225
สระบุรี,59,107.3,7,8.1,10,173.8,7440,100907.482433
สิงห์บุรี,12,10.7,1,1.0,0,0.0,1102,9926.295801
อ่างทอง,15,11.67,3,2.5,0,0.0,1509,9493.69785
เฉลี่ย,167,384.3537272727272,22,33.05124454545455,36,1135.8081195454545,18889,270194.29151456914
กาญจนบุรี,60,126.6015,10,48.49179,9,56.4,4793,36828.39494632
ประจวบคีรีขันธ์,80,146.33,9,10.2,12,57.4015,6880,33439.070631
เพชรบุรี,21,41.8,7,11.2,3,60.0,3347,35349.52131052
ราชบุรี,75,184.35,19,28.6,8,76.2,6273,73239.956138
สมุทรสงคราม,22,26.855,2,2.0,1,0.3,1348,8263.75688
สุพรรณบุรี,47,258.4,8,10.0,7,453.1388,4667,25551.032398
เฉลี่ย,50,130.72275,9,18.415298333333336,6,117.24005,4551,35445.28871730666
จันทบุรี,35,49.5,1,1.0,5,105.7,3704,30558.822248
ฉะเชิงเทรา,70,108.5,8,8.03,23,3036.60103,7753,219563.869834
ชลบุรี,884,3362.47,76,169.95,158,9108.781045,67822,896801.18539325
ตราด,9,61.3,0,0.0,3,4.4,1537,7701.596758
นครนายก,15,13.9,6,6.05,1,10.0,1576,14061.62123
