place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,2127,7349.73262,476,6614.530344,695,77085.863715,332298,15069238.2370677
ชัยนาท,11,13.8,3,6.2,3,54.0,1461,11465.735873
นครปฐม,100,129.551,27,43.15,32,188.3008,15297,161344.81711775
นนทบุรี,366,921.518,94,122.7,99,1679.86,53760,601871.78068553
ปทุมธานี,296,493.16,50,285.95,102,804.1054,46651,579113.38626415
พระนครศรีอยุธยา,75,147.2,13,41.9,23,2379.5648,10808,243046.85342626
ลพบุรี,27,207.2,7,6.4,5,28.9,3758,21713.208516
สมุทรปราการ,382,1339.7158,64,189.65,120,3876.6198135,53276,1040189.13144937
สมุทรสาคร,147,381.9,31,40.0702,56,1136.796,19074,251327.1608125
สระบุรี,48,66.45,16,34.65,13,7083.5,7623,108506.132433
สิงห์บุรี,9,7.45,1,1.2,1,4.0,1121,9894.885801
อ่างทอง,8,15.7,0,0.0,1,0.2,1446,8653.51785
เฉลี่ย,133,338.5131636363636,27,70.17001818181818,41,1566.8951648636364,19479,276102.4191116873
กาญจนบุรี,39,55.8,6,79.65,7,19.7,4946,36914.42494632
ประจวบคีรีขันธ์,48,103.232,9,18.0,11,26.4457,7140,34430.216831
เพชรบุรี,20,47.1,14,14.01,6,40.8,3403,35972.00144152
ราชบุรี,60,99.1,5,23.15,7,52.1,6502,73620.130738
สมุทรสงคราม,10,11.0,1,1.0,4,52.0,1405,8588.42688
สุพรรณบุรี,28,35.91,9,24.7,14,118.7,4796,25762.687398
เฉลี่ย,34,58.69033333333332,7,26.751666666666665,8,51.62428333333333,4698,35881.314705806675
จันทบุรี,33,64.7,8,29.0,1,1.0,3859,32006.335248
ฉะเชิงเทรา,62,181.47,7,1437.35,17,546.0,8045,226293.867334
ชลบุรี,665,2016.16,97,398.57,197,8077.6336,71142,941728.80128325
ตราด,11,19.07,5,7.6,0,0.0,1589,7936.166758
นครนายก,9,10.75,1,1.0,1,220.0,1635,14394.38123
ปราจีนบุรี,30,106.4961,5,18.5,15,862.0191,4584,220278.772505
ระยอง,157,355.95,19,29.7,72,16180.71221,18339,837367.56409175
สระแก้ว,13,24.1,3,7.0,1,1.0,2585,12911.4531225
เฉลี่ย,122,347.3370125,18,241.09,38,3236.04561375,13972,286614.6676965624
กระบี่,44,88.9,8,15.0,9,33.5,4415,31698.87975
ชุมพร,18,38.5,6,11.1,5,15.2,2751,16583.242173
ตรัง,18,29.02,1,1.0,3,8.0,2925,22613.8991685
นครศรีธรรมราช,46,68.321,10,14.9,8,67.6745,7135,33485.961756
นราธิวาส,11,8.7,2,2.0,5,8.9,1778,8595.4608
ปัตตานี,9,11.7,4,23.0,2,7.1,1772,9769.592262
พังงา,11,14.2,2,5.0,5,66.921,2152,19300.1617
พัทลุง,21,23.11,2,2.5,2,5.0,2130,5703.843881
ภูเก็ต,288,811.62,47,151.7,72,947.7632,31211,229867.113098
ยะลา,15,18.2,0,0.0,3,19.4,1865,11928.077797
ระนอง,7,13.1395,1,31.5,3,6.2,1213,11555.337825
สงขลา,149,216.5,19,59.5,29,182.85148,13442,134801.881871
สตูล,3,3.0,2,4.8,0,0.0,954,4464.35065
สุราษฎร์ธานี,221,510.16,14,31.5,34,132.53,24596,122170.0454025
เฉลี่ย,61,132.50503571428573,8,25.25,12,107.21715571428572,7024,47324.13200957143
กำแพงเพชร,22,25.55,8,9.2,7,35.898,2950,18823.435285
เชียงราย,60,73.951,29,32.44,17,91.37,9219,50714.2622082
เชียงใหม่,295,466.68,73,129.752,51,1461.2,31717,213866.42409695
ตาก,38,43.55,6,16.5,7,73.9,3030,14233.42065
นครสวรรค์,37,75.8,9,14.75,13,154.5,5311,48217.421076
น่าน,9,10.8,3,2.6,3,11.5,2104,6013.53435
พะเยา,13,23.41,6,5.8,4,15.8,2312,6397.57581414
พิจิตร,25,27.8,3,2.5,9,140.5,2117,12084.524513
พิษณุโลก,50,56.1,3,4.0,11,821.5,5588,24329.1899704
เพชรบูรณ์,26,31.75,6,4.75,5,149.1,3360,17521.644633
แพร่,8,12.0,4,3.1,7,20.25,1963,8443.027123
แม่ฮ่องสอน,7,24.0,0,0.0,6,21.7,751,1798.6132
ลำปาง,30,30.61,15,19.0575,4,6.5,4399,19808.76901375
ลำพูน,38,50.02,7,7.1,6,12.0,3642,42560.696423
สุโขทัย,11,6.25,7,8.7,1,1.5,1833,18970.46126297
อุตรดิตถ์,18,15.395,6,54.205,1,4.0,1762,13920.537758
อุทัยธานี,6,5.2,2,6.0,1,4.0,1052,7150.157729
เฉลี่ย,40,57.580352941176464,11,18.85026470588236,9,177.95399999999998,4888,30873.7467709653
กาฬสินธุ์,25,41.475,3,4.0,3,3.6,2827,10702.764718
ขอนแก่น,101,131.24,28,36.9,20,121.8,13062,102693.522377
ชัยภูมิ,23,33.1,5,3.72,5,22.68,3812,15339.886647
นครพนม,18,12.37,3,7.03,2,16.0,2317,6738.116147
นครราชสีมา,94,142.1,31,50.8,28,240.31,16868,221896.275996
บึงกาฬ,6,4.55,3,3.0,6,10.2,1295,3061.660399
บุรีรัมย์,39,90.35,11,16.95,4,28.8,4978,267195.134961
มหาสารคาม,29,43.2,13,13.33,3,8.0,3353,12405.25621182
มุกดาหาร,14,15.6,1,5.0,3,2.0,1694,13561.520284
ยโสธร,12,14.01,6,9.75,2,6.5,1844,8687.448664
ร้อยเอ็ด,31,57.52,6,11.2,4,17.72,4194,22690.94368469
เลย,24,41.65,6,7.51,0,0.0,2363,9315.28579405
ศรีสะเกษ,29,51.95,5,6.05,0,0.0,3566,14835.649147
สกลนคร,39,63.27,7,9.2,7,53.52,3766,14311.1083
สุรินทร์,24,31.62,8,8.1,4,56.05,4266,22534.470826
หนองคาย,20,27.04,5,4.5,4,22.5,2553,10343.4598
หนองบัวลำภู,10,17.45,8,7.1,0,0.0,1470,13728.268357
อำนาจเจริญ,9,13.8,4,5.0,3,7.5,1220,3749.562702
อุดรธานี,68,98.4,24,27.75,14,48.22,8106,44622.89137
อุบลราชธานี,73,144.0045,15,16.8,11,81.5,7553,53827.057269
เฉลี่ย,34,53.734974999999984,9,12.684499999999998,6,37.345,4555,43612.014182728
เฉลี่ย ภูมิภาค,64,141.61998552631582,13,49.85190394736841,16,640.8831000460526,8247,100065.31140698516
