place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,2239,22128.92594,233,753.8153,746,80641.38030202,327521,14793568.99
ชัยนาท,12,16.95,11,15.3,3,11.0,1428,11341.245873
นครปฐม,117,188.7805,13,11.41,32,256.65,15073,160455.92281975
นนทบุรี,387,820.55,52,77.25,76,922.74886,52875,601111.02522623
ปทุมธานี,350,493.104,26,56.51,85,857.0712,45823,572625.3713664
พระนครศรีอยุธยา,79,370.8,6,13.01,24,606.147201,10588,242463.45922626
ลพบุรี,24,43.0,6,4.6,3,5.0,3707,21547.008516
สมุทรปราการ,380,4289.460388,37,198.3369,105,3987.8553,52328,1019255.17517037
สมุทรสาคร,142,233.41,8,23.0,53,635.56,18769,248206.10581225
สระบุรี,48,55.651,7,4.05,13,65.55,7524,101190.118433
สิงห์บุรี,10,19.1,2,2.1,0,0.0,1110,9870.395801
อ่างทอง,14,17.8,1,0.2,6,155.0,1425,6517.25785
เฉลี่ย,142,595.3278080000001,15,36.8879,36,682.0529600909091,19150,272234.8260085691
กาญจนบุรี,36,55.6,10,22.0,9,114.0,4855,36766.13494632
ประจวบคีรีขันธ์,53,89.6,9,9.1,5,14.0,6994,34080.250631
เพชรบุรี,20,30.2,7,14.0,4,59.0,3373,35561.62131052
ราชบุรี,44,62.502,2,2.0,8,201.0,6374,74032.467738
สมุทรสงคราม,10,9.07,1,1.0,4,56.0,1373,8373.67688
สุพรรณบุรี,33,57.75,9,12.3,8,55.4,4737,25509.877398
เฉลี่ย,32,50.787,6,10.066666666666668,6,83.23333333333333,4617,35720.67148397334
จันทบุรี,35,49.4,9,11.4,5,13.0,3765,31366.477248
ฉะเชิงเทรา,57,282.301,10,16.5,21,848.3515,7864,221924.559334
ชลบุรี,829,2487.791,69,2764.41,209,8736.1054,69299,909826.64778325
ตราด,11,17.0,2,6.0,2,7.0,1553,7814.596758
นครนายก,12,16.6,0,0.0,3,10.0,1601,14115.32123
ปราจีนบุรี,35,977.05,5,34.0,11,437.698,4490,214121.452105
ระยอง,159,882.682,9,189.9,54,4201.754,17857,801532.821312
สระแก้ว,18,41.0,8,14.7,5,47.5,2534,12875.2481225
เฉลี่ย,144,594.228,16,379.61375,38,1787.6761125000005,13620,276697.1404865937
กระบี่,38,57.56,2,1.1,11,34.0143,4312,31783.22975
ชุมพร,20,20.8,0,0.0,2,4.2,2703,16352.187173
ตรัง,17,20.65,1,5.0,4,320.0,2887,22743.215198
นครศรีธรรมราช,59,112.7,5,4.5,9,21.05,7019,33173.533716
นราธิวาส,28,26.45,2,5.7,4,14.0,1740,8448.7958
ปัตตานี,16,18.8,1,1.0,4,215.6,1724,9651.152262
พังงา,17,21.2,1,2.0,4,23.0,2110,19141.4706
พัทลุง,13,32.2,4,6.7,1,0.5,2086,5642.233881
ภูเก็ต,281,660.14,40,115.0,108,815.2067,30578,225556.616223
ยะลา,9,14.54,3,0.63,3,5.5,1831,11848.667797
