place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,2467,12394.368663,504,9186.4096,712,108522.137935,335864,15133537.9993748
ชัยนาท,12,16.0,4,5.0,2,4.0,1481,11494.845873
นครปฐม,107,160.1,22,44.65,24,188.95,15484,162210.78742575
นนทบุรี,434,647.205,101,228.95,94,1318.37167,54373,644086.04207553
ปทุมธานี,355,663.5999,65,169.45,85,577.6207505,47298,582484.50991465
พระนครศรีอยุธยา,74,110.95,17,32.9,26,381.5455,10901,245127.06912626
ลพบุรี,26,34.65,2,6.0,3,29.0,3808,21640.167516
สมุทรปราการ,394,778.951856,81,162.2,119,3358.6125,53903,1079275.38125637
สมุทรสาคร,125,260.25,22,87.1,52,540.1978,19301,253686.2000665
สระบุรี,47,90.05,9,126.97,6,85.0,7716,108541.962433
สิงห์บุรี,4,2.21,2,2.05,3,7.9,1135,9909.385801
อ่างทอง,9,16.7,2,1.3,1,5.0,1465,9108.06785
เฉลี่ย,144,252.78788690909093,29,78.7790909090909,37,590.5634745909091,19715,284324.03812164185
กาญจนบุรี,78,156.7,12,68.1,6,35.3383,5067,37282.33324632
ประจวบคีรีขันธ์,48,104.12,17,23.5,6,8.5,7216,34640.186831
เพชรบุรี,26,29.6,18,19.8,2,35.8,3437,35993.90244152
ราชบุรี,54,297.755,8,8.08125,8,30.8,6594,74204.804277
สมุทรสงคราม,14,16.1,0,0.0,4,5.8,1434,8625.92688
สุพรรณบุรี,36,44.1,8,6.0,6,29.7,4850,25919.167398
เฉลี่ย,42,108.0625,10,20.913541666666664,5,24.323049999999995,4766,36111.053512306666
จันทบุรี,23,29.75,7,21.6,5,14.8,3900,32081.736248
ฉะเชิงเทรา,67,820.365,16,28.1,19,1076.1404,8165,220289.330834
ชลบุรี,657,2053.009999,95,217.3,196,3482.4601,72438,961733.65518325
ตราด,10,20.079816,7,10.8,5,14.999991,1591,7964.546565
นครนายก,15,14.51,4,4.0,2,14.0,1668,14552.89123
ปราจีนบุรี,25,94.6,8,184.2,15,436.6937,4617,232136.443605
ระยอง,158,310.92176,29,70.0,44,2178.608005,18653,845253.39285675
สระแก้ว,33,44.9,8,9.07,3,6.0,2630,12995.0731225
เฉลี่ย,123,423.517071875,21,68.13375,36,902.9627745,14207,290875.8837055625
กระบี่,45,367.9358,4,5.1,9,85.5,4497,32073.62975
ชุมพร,29,45.05,9,15.3,3,27.0,2779,16678.792173
ตรัง,17,28.32,8,18.9,5,153.5,2952,22934.4191685
นครศรีธรรมราช,71,100.15,11,102.15,17,61.492,7242,33628.423756
นราธิวาส,15,38.9,2,3.0,3,29.5,1799,8670.9108
ปัตตานี,17,27.0,11,14.51,5,19.6,1793,9698.457262
พังงา,18,30.1,2,2.0,4,8.55,2185,19345.083989
พัทลุง,16,16.95,4,4.5,4,28.05,2158,5767.343881
ภูเก็ต,215,489.69,79,238.5,82,468.7762,31496,231640.245698
ยะลา,13,18.3,2,4.0,6,13.9,1881,12227.877797
ระนอง,10,14.05,3,9.0,1,2.0,1242,11575.087825
สงขลา,162,197.811,21,36.9,27,274.4,13654,135765.622871
สตูล,7,6.96,2,3.0,1,1.0,973,4443.76065
สุราษฎร์ธานี,203,474.11,32,73.1,44,259.95,24941,123378.9749025
เฉลี่ย,59,132.52334285714284,13,37.85428571428571,15,102.37272857142857,7113,47702.04503735714
กำแพงเพชร,12,14.75,4,3.5,4,8.5,2971,19010.675285
เชียงราย,97,122.47,23,29.1,22,102.1,9355,51065.1944082
เชียงใหม่,296,489.475,88,595.3,60,1592.860015,32107,215810.79661195
ตาก,37,39.28,5,8.8,5,16.9,3082,14349.39065
นครสวรรค์,52,50.06,29,41.95,14,55.1,5357,48207.081076
น่าน,23,26.9988,4,4.9,0,0.0,2134,6069.32315
พะเยา,16,18.1,6,8.8,1,3.0,2330,6311.30581414
พิจิตร,18,13.0,1,5.0,2,9.5,2152,12289.994513
พิษณุโลก,42,70.05,13,13.83,9,232.4,5692,24681.7139704
เพชรบูรณ์,23,29.18,1,1.0,1,0.5,3406,17483.469633
แพร่,16,13.175,5,3.53,4,20.0,1986,8494.272123
แม่ฮ่องสอน,5,7.7,3,3.1,2,2.095,762,1828.4082
ลำปาง,38,61.35,9,17.9,7,24.7,4451,19954.71901375
ลำพูน,29,43.2048,7,12.5,8,26.9,3682,40412.486723
สุโขทัย,17,20.2,5,8.05,4,134.5,1857,19118.84728797
อุตรดิตถ์,16,21.86,7,10.7,5,21.8,1799,14018.282758
อุทัยธานี,7,7.1,1,0.5,3,1.1,1064,7170.957729
เฉลี่ย,43,61.64432941176469,12,45.2035294117647,8,132.46794205882352,4952,30957.46582037707
กาฬสินธุ์,28,39.1,6,6.0,2,23.5,2867,10775.814718
ขอนแก่น,129,164.81,38,72.01,19,68.29,13237,103032.107377
ชัยภูมิ,33,62.4,9,14.6,3,16.0,3853,15454.075647
นครพนม,23,36.3,1,1.0,3,11.48,2345,6822.916147
นครราชสีมา,125,198.06,25,66.8,31,214.05,17069,182286.076096
บึงกาฬ,8,10.6,6,4.42,2,8.7,1304,3098.660399
บุรีรัมย์,43,53.11,15,10.33,5,41.0,5039,267293.824961
มหาสารคาม,21,20.45,5,6.5,6,11.940401,3386,12494.08661282
มุกดาหาร,12,15.0,8,19.5,5,14.5,1710,13587.120284
ยโสธร,14,28.55,3,12.0,1,30.0,1871,8741.563664
ร้อยเอ็ด,29,36.6,5,6.3,2,4.5,4255,22827.36368469
เลย,19,24.3,4,5.501,5,27.835869,2395,9443.66066305
