place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,1901,20668.130993,233,1978.6718,595,56723.3272905,329038,14835684.63
ชัยนาท,9,10.87,1,1.0,0,0.0,1435,11361.615873
นครปฐม,87,105.006,11,23.0,26,159.3,15152,160266.53881975
นนทบุรี,333,474.305,53,97.9,98,1950.812273,53158,602478.91464903
ปทุมธานี,306,460.25,23,290.9,69,1002.960143,46117,574017.76949615
พระนครศรีอยุธยา,80,130.36,10,16.1,20,812.7163,10658,240357.33952626
ลพบุรี,23,41.21,1,1.0,5,22.38,3720,21581.258516
สมุทรปราการ,328,742.009299,28,206.7,100,14503.727254,52647,1030683.00664437
สมุทรสาคร,108,190.185,11,154.8,43,947.11387,18865,249169.29468225
สระบุรี,41,59.7,7,14.1,8,34.25,7564,101279.968433
สิงห์บุรี,3,5.1,2,1.76,1,4.4,1110,9877.135801
อ่างทอง,10,13.61,3,2.5,1,5.0,1429,6530.36785
เฉลี่ย,120,202.96411809090912,13,73.61454545454545,37,1767.514530909091,19259,273418.4736628009
กาญจนบุรี,40,56.6,3,3.0,7,24.6,4894,36692.33494632
ประจวบคีรีขันธ์,52,108.61,6,11.0,12,27.0035,7041,34203.869131
เพชรบุรี,24,26.91,4,2.6,6,217.9,3396,35370.62144152
ราชบุรี,38,71.9,6,12.515,10,34.1,6408,74000.152738
สมุทรสงคราม,12,110.6,0,0.0,0,0.0,1385,8484.27688
สุพรรณบุรี,28,48.1,6,4.8,1,4.0,4759,25552.177398
เฉลี่ย,32,70.45333333333333,5,5.6525,7,51.26725000000001,4647,35717.23875580666
จันทบุรี,28,45.3,3,1.542,10,440.6,3793,31852.935248
ฉะเชิงเทรา,47,175.31,7,295.5,16,3458.4735,7910,224777.382834
ชลบุรี,686,4092.6231,54,176.5,193,6419.24,69931,921595.80548325
ตราด,12,18.9,1,1.0,0,0.0,1569,7845.346758
นครนายก,15,18.2,0,0.0,5,19.0,1620,14172.53123
ปราจีนบุรี,30,45.75,1,0.6,11,577.2762,4525,214892.878305
ระยอง,153,476.76,10,32.5,62,7191.498,18016,807690.356812
สระแก้ว,21,26.205,2,6.0,3,7.7,2554,12904.1531225
เฉลี่ย,124,612.3810124999999,11,64.20525,37,2264.2234625,13739,279466.42372409377
กระบี่,38,60.15,3,7.0,5,161.3,4343,31981.67975
ชุมพร,17,33.0,2,6.5,3,13.6,2719,16396.287173
ตรัง,11,12.3,0,0.0,6,34.8,2893,22782.235198
นครศรีธรรมราช,48,122.694,3,15.63646,7,37.0,7066,33318.591256
นราธิวาส,12,17.0,0,0.0,0,0.0,1751,8445.9958
ปัตตานี,23,135.9,2,6.0,1,4.0,1743,9697.042262
พังงา,13,213.8001,0,0.0,2,11.0,2124,19172.7707
พัทลุง,15,20.6,3,2.5,2,3.9,2099,5665.233881
ภูเก็ต,215,746.36,38,107.5,48,446.9044,30755,226424.589998
ยะลา,12,24.5,1,0.04,2,7.0,1842,11877.127797
ระนอง,6,7.1,3,8.0,1,1.4,1200,11555.593325
สงขลา,113,149.268,11,99.2,27,142.79729,13214,134372.162161
สตูล,9,16.3,3,4.0,0,0.0,942,4445.05065
สุราษฎร์ธานี,230,582.13,17,29.1,40,483.05,24149,120984.5704025
เฉลี่ย,54,152.9358642857143,7,20.39117571428572,11,96.19654928571428,6917,46937.06645382143
กำแพงเพชร,19,17.6,3,2.5,3,7.5,2918,18600.275285
เชียงราย,60,86.46,18,45.9,14,28.79,9124,50453.6862082
เชียงใหม่,224,375.935,47,144.805,35,102.94,31303,209494.10875695
ตาก,24,34.6,1,1.0,6,26.9,2982,14046.37065
นครสวรรค์,35,40.6,12,13.6,8,42.75,5263,48024.821076
น่าน,11,8.95,3,3.0,2,13.0,2092,5727.73435
พะเยา,17,28.15,2,2.0,5,11.25,2298,6352.26581414
พิจิตร,12,24.5,2,2.0,5,101.0,2082,11970.324513
พิษณุโลก,46,51.45,5,5.4,7,14.0,5493,23320.9124704
เพชรบูรณ์,20,29.31,4,7.2,3,6.0,3309,17322.644633
แพร่,12,16.34,0,0.0,2,7.0,1952,8398.098235
แม่ฮ่องสอน,6,22.1,1,2.0,2,8.2,743,1738.9132
ลำปาง,25,41.5,8,9.58,7,26.79,4369,19810.96951375
ลำพูน,17,17.45,7,5.9,5,12.45,3600,42322.687423
สุโขทัย,13,13.3,0,0.0,1,4.0,1818,18958.74126297
อุตรดิตถ์,14,22.1,3,8.0,3,12.0,1739,13917.447758
อุทัยธานี,3,3.0,1,1.0,0,0.0,1044,7121.957729
เฉลี่ย,32,49.02029411764707,7,14.934411764705883,6,24.97470588235294,4831,30445.997581082946
กาฬสินธุ์,19,44.6,9,12.6,3,6.7,2792,10635.189718
ขอนแก่น,79,110.92,18,27.2,17,3985.930775,12922,102462.882377
ชัยภูมิ,25,47.51,1,10.0,5,15.35,3773,15157.826647
นครพนม,13,14.4,4,7.0,3,7.7,2294,6693.656147
นครราชสีมา,95,128.601,19,18.35,22,10273.7,16719,221190.765996
บึงกาฬ,6,5.6,1,1.0,0,0.0,1286,3040.610399
บุรีรัมย์,34,51.35,6,8.4,12,355.7675,4939,267083.709861
มหาสารคาม,18,22.06,6,12.0,5,18.0,3317,12322.58621182
มุกดาหาร,8,16.4,5,2.2,1,290.0,1669,13525.920284
ยโสธร,8,9.735,6,14.0,3,5.0,1832,8645.888664
ร้อยเอ็ด,39,77.0,9,12.15,6,243.571562,4151,22828.60368469
เลย,23,59.92,2,74.5,3,1.85,2338,9248.15179405
ศรีสะเกษ,19,25.6,6,6.6,5,6.46,3519,14760.449147
สกลนคร,17,18.9,2,1.5,8,16.6,3712,14123.5583
สุรินทร์,34,57.0,6,13.3,2,1.75,4239,22433.400826
หนองคาย,18,25.9,5,6.9,2,6.0,2519,10279.4198
หนองบัวลำภู,10,16.0,2,6.0,2,3.5,1451,13695.618357
อำนาจเจริญ,18,24.2,0,0.0,1,35.0,1207,3718.262702
อุดรธานี,53,92.26,11,11.55,7,18.5,7999,44588.59147
อุบลราชธานี,54,96.8,7,10.8,9,36.1,7450,56716.409165
เฉลี่ย,29,47.2378,6,12.802500000000004,6,766.3739918499999,4506,43657.575077528
เฉลี่ย ภูมิภาค,58,150.96811182894737,8,28.325374473684214,15,723.1954285131578,8141,98756.45293948514
