province,month,objective,p_esta,m_esta
กรุงเทพมหานคร,มกราคม,ขายส่ง/ขายปลีก,970,2455.42001
กรุงเทพมหานคร,มกราคม,ผลิต,233,2978.44
กรุงเทพมหานคร,มกราคม,บริการ,1508,4677.552
กรุงเทพมหานคร,กุมภาพันธ์,ขายส่ง/ขายปลีก,760,1690.57
กรุงเทพมหานคร,กุมภาพันธ์,ผลิต,190,713.607
กรุงเทพมหานคร,กุมภาพันธ์,บริการ,1234,3376.534488
กรุงเทพมหานคร,มีนาคม,ขายส่ง/ขายปลีก,807,2006.069
กรุงเทพมหานคร,มีนาคม,ผลิต,221,13426.03037
กรุงเทพมหานคร,มีนาคม,บริการ,1211,6696.82657
กรุงเทพมหานคร,เมษายน,ขายส่ง/ขายปลีก,716,1545.246
กรุงเทพมหานคร,เมษายน,ผลิต,138,1081.281
กรุงเทพมหานคร,เมษายน,บริการ,1047,18041.603993
กรุงเทพมหานคร,พฤษภาคม,ขายส่ง/ขายปลีก,732,1954.235383
กรุงเทพมหานคร,พฤษภาคม,ผลิต,141,419.39
กรุงเทพมหานคร,พฤษภาคม,บริการ,1147,4660.801265
กรุงเทพมหานคร,มิถุนายน,ขายส่ง/ขายปลีก,800,1677.99511
กรุงเทพมหานคร,มิถุนายน,ผลิต,174,689.7345
กรุงเทพมหานคร,มิถุนายน,บริการ,1153,4982.00301
กรุงเทพมหานคร,กรกฎาคม,ขายส่ง/ขายปลีก,886,2347.11088
กรุงเทพมหานคร,กรกฎาคม,ผลิต,193,689.62
กรุงเทพมหานคร,กรกฎาคม,บริการ,1311,4869.34592
กรุงเทพมหานคร,สิงหาคม,ขายส่ง/ขายปลีก,1036,2243.217863
กรุงเทพมหานคร,สิงหาคม,ผลิต,178,462.59
กรุงเทพมหานคร,สิงหาคม,บริการ,1253,9688.5608
กรุงเทพมหานคร,กันยายน,ขายส่ง/ขายปลีก,938,2430.663075
กรุงเทพมหานคร,กันยายน,ผลิต,178,576.35
กรุงเทพมหานคร,กันยายน,บริการ,1316,5271.185705
กรุงเทพมหานคร,ตุลาคม,ขายส่ง/ขายปลีก,871,6771.6425
กรุงเทพมหานคร,ตุลาคม,ผลิต,166,1091.8003
กรุงเทพมหานคร,ตุลาคม,บริการ,1103,2982.564995
กรุงเทพมหานคร,พฤศจิกายน,ขายส่ง/ขายปลีก,577,1406.288
กรุงเทพมหานคร,พฤศจิกายน,ผลิต,123,968.04006
กรุงเทพมหานคร,พฤศจิกายน,บริการ,922,3579.208814
กรุงเทพมหานคร,ธันวาคม,ขายส่ง/ขายปลีก,561,1818.467069
กรุงเทพมหานคร,ธันวาคม,ผลิต,125,716.1
กรุงเทพมหานคร,ธันวาคม,บริการ,812,3457.72442
ชัยนาท,มกราคม,ขายส่ง/ขายปลีก,4,11.1
ชัยนาท,มกราคม,ผลิต,0,0.0
ชัยนาท,มกราคม,บริการ,3,4.5
ชัยนาท,กุมภาพันธ์,ขายส่ง/ขายปลีก,5,7.6
ชัยนาท,กุมภาพันธ์,ผลิต,2,2.5
ชัยนาท,กุมภาพันธ์,บริการ,7,11.0
ชัยนาท,มีนาคม,ขายส่ง/ขายปลีก,5,9.0
ชัยนาท,มีนาคม,ผลิต,1,1.0
ชัยนาท,มีนาคม,บริการ,6,6.95
ชัยนาท,เมษายน,ขายส่ง/ขายปลีก,2,3.0
ชัยนาท,เมษายน,ผลิต,2,5.05
ชัยนาท,เมษายน,บริการ,5,2.82
ชัยนาท,พฤษภาคม,ขายส่ง/ขายปลีก,7,7.22
ชัยนาท,พฤษภาคม,ผลิต,2,1.4
ชัยนาท,พฤษภาคม,บริการ,8,6.8
ชัยนาท,มิถุนายน,ขายส่ง/ขายปลีก,5,3.7
ชัยนาท,มิถุนายน,ผลิต,1,2.0
ชัยนาท,มิถุนายน,บริการ,5,8.1
ชัยนาท,กรกฎาคม,ขายส่ง/ขายปลีก,11,21.15
ชัยนาท,กรกฎาคม,ผลิต,2,2.0
ชัยนาท,กรกฎาคม,บริการ,8,9.45
ชัยนาท,สิงหาคม,ขายส่ง/ขายปลีก,5,9.5
ชัยนาท,สิงหาคม,ผลิต,1,1.0
ชัยนาท,สิงหาคม,บริการ,6,5.5
ชัยนาท,กันยายน,ขายส่ง/ขายปลีก,8,12.5
ชัยนาท,กันยายน,ผลิต,2,6.0
ชัยนาท,กันยายน,บริการ,10,18.5
ชัยนาท,ตุลาคม,ขายส่ง/ขายปลีก,2,1.3
ชัยนาท,ตุลาคม,ผลิต,2,5.0
ชัยนาท,ตุลาคม,บริการ,6,5.5
ชัยนาท,พฤศจิกายน,ขายส่ง/ขายปลีก,5,3.8
ชัยนาท,พฤศจิกายน,ผลิต,2,2.0
ชัยนาท,พฤศจิกายน,บริการ,3,4.0
ชัยนาท,ธันวาคม,ขายส่ง/ขายปลีก,1,1.0
ชัยนาท,ธันวาคม,ผลิต,0,0.0
ชัยนาท,ธันวาคม,บริการ,0,0.0
นครปฐม,มกราคม,ขายส่ง/ขายปลีก,53,69.15
นครปฐม,มกราคม,ผลิต,23,55.35
นครปฐม,มกราคม,บริการ,80,215.23
