type,jan_quit,feb_quit,mar_quit,apr_quit,may_quit,jun_quit,jul_quit,aug_quit,sep_quit,oct_quit,nov_quit,dec_quit,total_quit,jan_m,feb_m,mar_m,apr_m,may_m,jun_m,jul_m,aug_m,sep_m,oct_m,nov_m,dec_m,total_m
การปลูกพืชล้มลุก,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกธัญพืช (ยกเว้นข้าว) พืชตระกูลถั่วและพืชน้ำมัน,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกข้าวโพดที่ใช้เมล็ดแก่,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),0,0,0,0,0,0,1,1,1,0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,3.75,0.0,0.0,3.5,8.75
การปลูกพืชตระกูลถั่ว,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกถั่วเหลือง,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
การปลูกพืชน้ำมัน (ยกเว้นถั่วเหลือง),0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
การปลูกข้าวจ้าว,0,1,0,1,0,0,0,1,2,0,1,2,8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.1,0.0,1.0,1.05,10.15
การปลูกข้าวเหนียว,0,0,0,0,0,0,5,0,0,1,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,1.0
การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,1,0,0,0,0,0,0,1,1,0,0,2,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,4.0,0.0,0.0,2.0,6.13
การปลูกพืชผักกินผลรวมถึงแตงชนิดต่าง ๆ รวมถึงการเพาะเมล็ดพันธุ์ผัก,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
การปลูกพืชผักกินหัว,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
การปลูกพืชจำพวกรากและหัว (ยกเว้นมันสำปะหลัง),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปลูกมันสำปะหลัง,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05
