type,p_s,p_m,p_l,p_total,m_s,m_m,m_l,m_total
การเพาะปลูกและการเลี้ยงสัตว์ บริการที่เกี่ยวข้อง,0,0,0,0,0.0,0.0,0.0,0.0
การปลูกพืชล้มลุก,0,0,0,0,0.0,0.0,0.0,0.0
การปลูกธัญพืช (ยกเว้นข้าว) พืชตระกูลถั่วและพืชน้ำมัน,0,0,0,0,0.0,0.0,0.0,0.0
การปลูกข้าวโพดที่ใช้เมล็ดแก่,22,0,1,23,17.4969,0.0,245.0,262.4969
การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),32,1,0,33,432.5,162.0,0.0,594.5
การปลูกพืชตระกูลถั่ว,11,1,0,12,17.6956,5.0,0.0,22.6956
การปลูกถั่วเหลือง,1,0,0,1,0.1,0.0,0.0,0.1
การปลูกพืชน้ำมัน (ยกเว้นถั่วเหลือง),9,0,0,9,282.7,0.0,0.0,282.7
การปลูกข้าวจ้าว,687,0,0,687,1198.4108,0.0,0.0,1198.4108
การปลูกข้าวเหนียว,331,0,0,331,302.9024,0.0,0.0,302.9024
การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,167,0,0,167,1081.738238,0.0,0.0,1081.738238
การปลูกพืชผักกินผลรวมถึงแตงชนิดต่าง ๆ รวมถึงการเพาะเมล็ดพันธุ์ผัก,49,1,0,50,1178.878,21.2,0.0,1200.078
การปลูกพืชผักกินหัว,10,0,0,10,2.4208,0.0,0.0,2.4208
การปลูกพืชจำพวกรากและหัว (ยกเว้นมันสำปะหลัง),1,0,0,1,1.0,0.0,0.0,1.0
การปลูกมันสำปะหลัง,65,0,0,65,1185.8287,0.0,0.0,1185.8287
การเพาะเห็ด,74,1,2,77,292.0294,52.0,900.0,1244.0294
การปลูกพืชผักอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,319,3,0,322,2603.56623,2916.0,0.0,5519.56623
การปลูกอ้อย,73,2,0,75,727.307,70.0,0.0,797.307
การปลูกยาสูบ,5,0,0,5,18.21384,0.0,0.0,18.21384
การปลูกฝ้าย,0,0,0,0,0.0,0.0,0.0,0.0
การปลูกพืชเส้นใยอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,6,0,0,6,10.009,0.0,0.0,10.009
การปลูกข้าวโพดเลี้ยงสัตว์,27,2,1,30,3306.481,925.0,60.0,4291.481
การปลูกพืชล้มลุกที่ใช้เป็นอาหารสัตว์ (ยกเว้นข้าวโพด เลี้ยงสัตว์),12,0,0,12,95.0,0.0,0.0,95.0
การปลูกกล้วยไม้,30,1,0,31,257.25,73.0,0.0,330.25
การปลูกไม้ดอกอื่นๆ (ยกเว้นกล้วยไม้),17,0,0,17,38.3,0.0,0.0,38.3
การปลูกพืชล้มลุกชนิดอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,69,0,0,69,1026.67,0.0,0.0,1026.67
การทำสวนองุ่น,6,0,0,6,113.5,0.0,0.0,113.5
การปลูกสับปะรด,15,0,0,15,123.977,0.0,0.0,123.977
การปลูกทุเรียน,66,0,0,66,2491.913,0.0,0.0,2491.913
การปลูกลำไย,5,0,0,5,25.15,0.0,0.0,25.15
การปลูกมะม่วง,22,0,0,22,38.3634,0.0,0.0,38.3634
การปลูกกล้วย,14,0,0,14,18.822,0.0,0.0,18.822
การปลูกมังคุด,4,0,0,4,0.0307,0.0,0.0,0.0307
การปลูกเงาะ,2,0,0,2,86.0,0.0,0.0,86.0
การปลูกไม้ผลเมืองร้อนและกึ่งร้อนอื่นๆซึ่งมิได้จัดประเภท ไว้ในที่อื่น,18,0,0,18,657.6,0.0,0.0,657.6
การปลูกส้ม,13,0,0,13,208.745,0.0,0.0,208.745
การปลูกไม้ผลตระกูลส้มอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,7,0,0,7,42.845,0.0,0.0,42.845
การปลูกไม้ผลเมืองหนาวอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,2,0,0,2,2.0,0.0,0.0,2.0
