type,p_s,p_m,p_l,p_total,m_s,m_m,m_l,m_total
การเพาะปลูกและการเลี้ยงสัตว์ บริการที่เกี่ยวข้อง,0,0,0,0,0,0,0,0
การปลูกพืชล้มลุก,0,0,0,0,0,0,0,0
การปลูกธัญพืช (ยกเว้นข้าว) พืชตระกูลถั่วและพืชน้ำมัน,0,0,0,0,0,0,0,0
การปลูกข้าวโพดที่ใช้เมล็ดแก่,23,0,1,24,18.4969,0,995,1013.4969
การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),33,1,0,34,438.5,162,0,600.5
การปลูกพืชตระกูลถั่ว,11,1,0,12,17.6956,5,0,22.6956
การปลูกถั่วเหลือง,1,0,0,1,0.1,0,0,0.1
การปลูกพืชน้ำมัน (ยกเว้นถั่วเหลือง),11,0,0,11,288.7,0,0,288.7
การปลูกข้าวจ้าว,680,0,0,680,1203.3468,0,0,1203.3468
การปลูกข้าวเหนียว,333,0,0,333,310.4014,0,0,310.4014
การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,168,0,0,168,1082.033238,0,0,1082.033238
การปลูกพืชผักกินผลรวมถึงแตงชนิดต่าง ๆ รวมถึงการเพาะเมล็ดพันธุ์ผัก,51,1,0,52,1182.678,21.2,0,1203.878
การปลูกพืชผักกินหัว,10,0,0,10,2.4208,0,0,2.4208
การปลูกพืชจำพวกรากและหัว (ยกเว้นมันสำปะหลัง),1,0,0,1,1,0,0,1
การปลูกมันสำปะหลัง,65,0,0,65,1186.7287,0,0,1186.7287
การเพาะเห็ด,79,1,2,82,305.6294,52,900,1257.6294
การปลูกพืชผักอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,342,3,0,345,2631.20623,2916,0,5547.20623
การปลูกอ้อย,76,2,0,78,1270.311,70,0,1340.311
การปลูกยาสูบ,7,0,0,7,19.71384,0,0,19.71384
การปลูกฝ้าย,0,0,0,0,0,0,0,0
การปลูกพืชเส้นใยอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,6,0,0,6,10.009,0,0,10.009
การปลูกข้าวโพดเลี้ยงสัตว์,26,2,1,29,3305.481,925,60,4290.481
การปลูกพืชล้มลุกที่ใช้เป็นอาหารสัตว์ (ยกเว้นข้าวโพด เลี้ยงสัตว์),12,0,0,12,98.5,0,0,98.5
การปลูกกล้วยไม้,31,1,0,32,257.75,73,0,330.75
การปลูกไม้ดอกอื่นๆ (ยกเว้นกล้วยไม้),18,0,0,18,39.3,0,0,39.3
การปลูกพืชล้มลุกชนิดอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,72,0,0,72,1030.67,0,0,1030.67
การทำสวนองุ่น,6,0,0,6,113.5,0,0,113.5
การปลูกสับปะรด,13,0,0,13,118.961,0,0,118.961
การปลูกทุเรียน,75,0,0,75,2502.313,0,0,2502.313
การปลูกลำไย,5,0,0,5,25.15,0,0,25.15
การปลูกมะม่วง,22,0,0,22,38.3634,0,0,38.3634
การปลูกกล้วย,14,0,0,14,18.822,0,0,18.822
การปลูกมังคุด,5,0,0,5,0.0467,0,0,0.0467
การปลูกเงาะ,1,0,0,1,1,0,0,1
การปลูกไม้ผลเมืองร้อนและกึ่งร้อนอื่นๆซึ่งมิได้จัดประเภท ไว้ในที่อื่น,16,0,0,16,328.7,0,0,328.7
การปลูกส้ม,12,0,0,12,108.445,0,0,108.445
การปลูกไม้ผลตระกูลส้มอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,7,0,0,7,42.845,0,0,42.845
การปลูกไม้ผลเมืองหนาวอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,2,0,0,2,2,0,0,2
การปลูกไม้ผลเปลือกแข็งที่กินได้,3,0,0,3,13.85,0,0,13.85
การปลูกไม้ผลที่มีต้นเป็นพุ่ม,1,0,0,1,1,0,0,1
การปลูกไม้ผลยืนต้นอื่นๆซึ่งมิได้จัดประเภทไว้ในทื่อื่น,63,0,0,63,1326.28946,0,0,1326.28946
การปลูกปาล์มน้ำมัน,184,1,0,185,8139.88013,300,0,8439.88013
การปลูกมะพร้าว,59,0,0,59,810.38855,0,0,810.38855
การปลูกไม้ยืนต้นอื่นๆที่ให้น้ำมันซึ่งมิได้จัดประเภทไว้ในที่อื่น,5,0,0,5,29.5,0,0,29.5
การทำไร่ชา,15,1,0,16,133.4,10,0,143.4
การทำไร่กาแฟ,31,0,0,31,93.75,0,0,93.75
การปลูกพืชอื่นๆที่นำไปทำเครื่องดื่มซึ่งมิได้จัดประเภทไว้ในที่อื่น,34,0,0,34,140.86,0,0,140.86
การปลูกพริก,8,0,0,8,13.045,0,0,13.045
การปลูกพริกไทย,0,0,0,0,0,0,0,0
การปลูกพืชอื่นๆประเภทเครื่องเทศเครื่องหอมยารักษาโรค และพืชทางเภสัชภัณฑ์ซึ่งมิได้จัดประเภทไว้ในที่อื่น,1493,2,0,1495,6928.111415,333.1149,0,7261.226315
การปลูกต้นยางพารา,113,1,1,115,6871.92113,35,7390,14296.92113
การปลูกพืชที่ใช้ในการถักสาน,13,0,0,13,15.2305,0,0,15.2305
การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,277,10,2,289,9446.2374,2271.38389,30,11747.62129
การขยายพันธุ์พืช,0,0,0,0,0,0,0,0
การทำสวนไม้ประดับ,66,0,0,66,125.15,0,0,125.15
การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,274,1,1,276,3475.3985,50,1000,4525.3985
การเลี้ยงโคและกระบือ,0,0,0,0,0,0,0,0
การเลี้ยงโคนมและโคเนื้อ,132,4,0,136,1102.5906,125.5,0,1228.0906
การเลี้ยงกระบือนมและกระบือเนื้อ,12,0,0,12,163.172,0,0,163.172
การเลี้ยงโคและกระบือเพื่อวัตถุประสงค์อื่นๆซึ่งมิได้จัดประเภท ไว้ในที่อื่น,20,0,0,20,36.5,0,0,36.5
การเลี้ยงม้าลาล่อม้าล่อและสัตว์อื่นๆที่คล้ายม้า,7,0,0,7,21.2,0,0,21.2
การเลี้ยงแกะ,6,0,0,6,22.3,0,0,22.3
การเลี้ยงแพะ,20,0,0,20,74.045,0,0,74.045
การเลี้ยงสุกร,859,81,32,972,4684.721998,5543.5125,11785.8863,22014.1208
การเลี้ยงสัตว์ปีก,0,0,0,0,0,0,0,0
การเลี้ยงไก่ไข่,235,71,12,318,2701.772,2896.4888,2427.12,8025.3808
การเลี้ยงไก่เนื้อ,523,149,31,703,7826.509,4944.5,8745.8867,21516.8957
การเลี้ยงเป็ด,22,5,1,28,302.5,93,425,820.5
การเลี้ยงสัตว์ปีกอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,159,27,6,192,1383.936,871.55,1220.14,3475.626
การเลี้ยงสัตว์ประเภทอื่นๆ,0,0,0,0,0,0,0,0
การเลี้ยงนกกระจอกเทศและนกอีมู,0,0,0,0,0,0,0,0
การเลี้ยงไหมผีเสื้อและแมลง,20,0,0,20,87.09,0,0,87.09
การเลี้ยงผึ้ง,65,3,0,68,164.694,43,0,207.694
การเลี้ยงนกนางแอ่น,26,1,0,27,368.1,500,0,868.1
การทำฟาร์มงู,2,0,0,2,2,0,0,2
การทำฟาร์มสัตว์เลี้ยง (ยกเว้นสัตว์น้ำ),70,3,2,75,323.44,136,320,779.44
การเลี้ยงสัตว์ประเภทอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,441,27,3,471,3826.303955,1149.5,675,5650.803955
การทำฟาร์มผสมผสาน,246,9,1,256,221813.6943,208,92.7826,222114.4769
กิจกรรมสนับสนุนการเกษตรและกิจกรรมหลังการเก็บเกี่ยว,0,0,0,0,0,0,0,0
การควบคุมแมลงและสัตว์ศัตรูพืช,195,0,0,195,175.485,0,0,175.485
การดำเนินการเกี่ยวกับอุปกรณ์การให้น้ำและเครื่องมือชลประทาน ทางการเกษตร,40,0,1,41,47.882434,0,1,48.882434
กิจกรรมสนับสนุนการผลิตพืชผลซึ่งมิได้จัดประเภทไว้ในที่อื่น,1104,5,2,1111,3352.82269,36,157,3545.82269
กิจกรรมสนับสนุนการเลี้ยงสัตว์,0,0,0,0,0,0,0,0
กิจกรรมสนับสนุนการแพร่พันธุ์สัตว์,16,1,0,17,134.4,5,0,139.4
กิจกรรมสนับสนุนการเลี้ยงสัตว์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,76,5,0,81,227.65,383.45,0,611.1
กิจกรรมหลังการเก็บเกี่ยวพืชผล,168,9,2,179,630.13765,134.1413,15,779.27895
กระบวนการจัดการเมล็ดพันธุ์เพื่อการขยายพันธุ์,107,1,1,109,241.4075,5,35,281.4075
การล่าสัตว์การดักสัตว์และกิจกรรมบริการอื่นๆที่เกี่ยวข้อง,18,1,0,19,22,5,0,27
ป่าไม้และการทำไม้,0,0,0,0,0,0,0,0
วนวัฒนวิทยาและกิจกรรมอื่นๆที่เกี่ยวกับป่าไม้,86,0,1,87,862.35,0,184,1046.35
การทำไม้,114,6,1,121,1628.459999,392,520,2540.459999
การเก็บหาของป่า,10,0,0,10,20.2,0,0,20.2
บริการสนับสนุนการป่าไม้,33,1,0,34,1515.07,21,0,1536.07
การประมง,0,0,0,0,0,0,0,0
การประมงทะเล,0,0,0,0,0,0,0,0
การจับปลาทะเล,13,1,0,14,54.5,2,0,56.5
การจับกุ้งทะเล,7,1,0,8,211,75,0,286
การจับปูทะเล,1,0,0,1,2,0,0,2
การจับหมึก,1,0,0,,0.5,0,0,
การจับหอยทะเล,3,0,0,3,5,0,0,5
การประมงทะเลอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,48,0,0,48,513.719999,0,0,513.719999
การจับปลาน้ำจืด,5,0,0,5,9,0,0,9
การจับกุ้งน้ำจืด,2,0,0,2,4,0,0,4
การประมงน้ำจืดอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,13,0,0,13,46.6,0,0,46.6
การเพาะเลี้ยงสัตว์น้ำทะเล,0,0,0,0,0,0,0,0
การเพาะเลี้ยงปลาทะเล,11,0,0,11,82,0,0,82
การเพาะเลี้ยงกุ้งทะเล,73,3,1,77,1779.62,95,300,2174.62
การเพาะเลี้ยงหอยทะเล,7,0,0,7,6.5,0,0,6.5
การเพาะเลี้ยงสัตว์ทะเลสวยงาม,10,0,0,10,11.3,0,0,11.3
การเพาะเลี้ยงสัตว์น้ำทะเลอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,26,2,0,28,178.1,205.18,0,383.28
การเพาะเลี้ยงปลาน้ำจืด,92,1,0,93,403.5873,1,0,404.5873
การเพาะเลี้ยงกุ้งน้ำจืด,38,3,0,41,296.3,50,0,346.3
การเพาะเลี้ยงกบ,1,0,0,1,0.02,0,0,0.02
การเพาะเลี้ยงจระเข้,7,0,0,7,169,0,0,169
การเพาะเลี้ยงสัตว์น้ำจืดสวยงาม,42,0,0,42,58.3,0,0,58.3
การเพาะเลี้ยงสัตว์น้ำจืดอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,36,0,0,36,924.541,0,0,924.541
การทำเหมืองถ่านหินคุณภาพสูง,20,1,1,22,222.72,100,524.999679,847.719679
การทำเหมืองลิกไนต์,4,0,1,5,25.5,0,1149.16,1174.66
การผลิตน้ำมันดิบและก๊าซธรรมชาติ,0,0,0,0,0,0,0,0
การผลิตน้ำมันดิบ,9,2,14,25,668,625,69904.4404,71197.4404
การผลิตก๊าซธรรมชาติ,27,0,3,30,592.5,0,5799.6867,6392.1867
การทำเหมืองสินแร่เหล็ก,20,1,1,22,851.9384,5,240,1096.9384
การทำเหมืองสินแร่ยูเรเนียมและทอเรียม,1,0,0,1,4,0,0,4
การทำเหมืองสินแร่ดีบุก,32,0,1,33,495.0216,0,218,713.0216
การทำเหมืองสินแร่สังกะสี,1,0,0,1,10,0,0,10
การทำเหมืองสินแร่โลหะนอกกลุ่มสินแร่เหล็กอื่น ๆ ซึ่งมิได้จัด ประเภทไว้ในที่อื่น,334,13,6,353,13481.74382,578,3001.5161,17061.25992
การทำเหมืองสินแร่โลหะมีค่า,56,0,0,56,1812.388507,0,0,1812.388507
การทำเหมืองแร่และเหมืองหินอื่นๆ,0,0,0,0,0,0,0,0
การทำเหมืองหินที่ใช้ในการก่อสร้าง,392,61,5,458,6152.8357,4244.7346,960.1,11357.6703
การทำเหมืองหินปูนยิปซัมชอล์กและโดโลไมต์,63,14,5,82,1124.97725,803.5,1774,3702.47725
การขุดกรวดและทราย,581,23,0,604,4687.33,959.15,0,5646.48
การทำเหมืองดิน,36,1,0,37,306.49,50,0,356.49
การทำเหมืองแร่และเหมืองหินซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0
การทำเหมืองแร่ที่ใช้ทำเคมีภัณฑ์และปุ๋ย,37,1,1,39,21395.8973,300,60,21755.8973
การขุดพีต,0,0,0,0,0,0,0,0
การทำเหมืองเกลือสินเธาว์,11,0,1,12,34,0,418.64,452.64
การทำเหมืองเกลือสมุทร,9,0,0,9,93,0,0,93
การทำเหมืองแร่ เหมืองแร่อโลหะและเหมืองหินอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0
การทำเหมืองแร่รัตนชาติและกึ่งรัตนชาติ,13,0,0,13,39,0,0,39
การทำเหมืองแร่ เหมืองแร่อโลหะและเหมืองหินอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,423,18,2,443,5016.14905,816.009,105,5937.15805
กิจกรรมที่สนับสนุนการขุดเจาะน้ำมันดิบและก๊าซธรรมชาติ,140,9,8,157,59114.55295,233.39229,101008.4583,160356.4035
กิจกรรมที่สนับสนุนการทำเหมืองแร่และเหมืองหินอื่นๆ,113,2,1,116,1314.33,85,100,1499.33
การผลิตผลิตภัณฑ์อาหาร,1,0,0,1,60,0,0,60
การแปรรูปและการถนอมเนื้อสัตว์,0,0,0,0,0,0,0,0
การฆ่าสัตว์และการบรรจุเนื้อสัตว์ (ยกเว้นสัตว์ปีก),0,0,0,0,0,0,0,0
การฆ่าสัตว์ (ยกเว้นสัตว์ปีก),111,18,6,135,1187.25,800.1064,720,2707.3564
การบรรจุเนื้อสัตว์สด (ยกเว้นสัตว์ปีก),90,9,5,104,285,90.4,1432.1445,1807.5445
การฆ่าและการบรรจุเนื้อสัตว์ปีกสด,111,12,34,157,1423.91,506.6,35906.16108,37836.67108
การแปรรูปและการถนอมผลิตภัณฑ์เนื้อสัตว์และเนื้อสัตว์ปีก,0,0,0,0,0,0,0,0
การผลิตเนื้อสัตว์และเนื้อสัตว์ปีกด้วยการอบแห้ง การทำเค็มหรือ การรมควัน,113,10,5,128,739.715,278.35,1172.5,2190.565
การผลิตไส้กรอกลูกชิ้นและผลิตภัณฑ์อื่นที่คล้ายกันที่ทำจาก เนื้อสัตว์และเนื้อสัตว์ปีก,312,12,12,336,894.63,215.2,5326.1647,6435.9947
การผลิตเนื้อสัตว์และเนื้อสัตว์ปีกบรรจุกระป๋อง,8,0,0,8,121.4,0,0,121.4
การผลิตผลิตภัณฑ์พลอยได้จากสัตว์และสัตว์ปีก,82,4,3,89,487.37,91.79722,210.3957,789.56292
การผลิตผลิตภัณฑ์อื่น ๆ จากเนื้อสัตว์และเนื้อสัตว์ปีกซึ่งมิได้จัด ประเภทไว้ในที่อื่น,204,16,7,227,745.88,339,3145,4229.88
การแปรรูปและการถนอมปลา สัตว์น้ำจำพวกครัสตาเซียและ โมลลุสก์,0,0,0,0,0,0,0,0
การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสดแช่เย็นหรือแช่แข็ง,1,0,0,1,5,0,0,5
การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,133,10,7,150,1057.95,224,1459,2740.95
การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,88,22,26,136,1683.06,1451.7,5081.918314,8216.678314
การผลิตปลาบรรจุกระป๋อง,26,6,16,48,320.25,291,8280.48999,8891.73999
การผลิตสัตว์น้ำ (ยกเว้นปลา) บรรจุกระป๋อง,4,4,2,10,368.5,73,490,931.5
การแปรรูปและการถนอมสัตว์น้ำอื่นๆ,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์สัตว์น้ำด้วยการอบแห้ง การรมควัน การทำเค็ม การหมักในน้ำเกลือ หรือน้ำส้มสายชู,159,13,6,178,461.32,897.85,868.1294,2227.2994
การผลิตไส้กรอกลูกชิ้นและผลิตภัณฑ์อื่นที่คล้ายกันที่ทำจาก สัตว์น้ำ,28,4,5,37,39.5625,146.8,1535,1721.3625
การผลิตน้ำปลาและผลิตภัณฑ์สัตว์น้ำที่ได้จากการหมัก,178,9,8,195,588.763,664.82,980,2233.583
การผลิตปลาป่นสำหรับใช้เป็นอาหารสัตว์,59,21,5,85,490.1375,693.8,232,1415.9375
การแปรรูปสาหร่าย,26,4,2,32,300.5,209.8,353,863.3
การผลิตผลิตภัณฑ์อื่น ๆ จากสัตว์น้ำซึ่งมิได้จัดประเภทไว้ในที่อื่น,69,9,4,82,267.79,320,378.75,966.54
การแปรรูปและการถนอมผลไม้และผัก,1,0,0,1,3.5,0,0,3.5
