name,objective,office,place_t,place_e,place,post_num
หส.เอ็นโอไอแอมบูเซอร์วิส1997,ทำการตรวจซ่อมบำรุงรักษาระบบจ่ายออกซิเจนและระบบไฟในรถพยาบาลรวมถึงตัวล็อคเตียงผู้ป้วยและตู้เวชภัณฑ์เก็บของในรถพยาบาล,30/4  หมู่ที่ 7 ซอย 4/7 ถนนคลองถนน,ต.บางคูรัด,อ.บางบัวทอง,จ.นนทบุรี,11110
หส.มีชื่น เนเชอรัล พลัส,ประกอบกิจการค้า เครื่องสำอาง อุปกรณ์เครื่องมือและเครื่องใช้เสริมความงาม,60/16  หมู่ที่ 3,ต.คลองสวนพลู,อ.พระนครศรีอยุธยา,จ.พระนครศรีอยุธยา,13000
หส.เลน่า คิง ,เสื้อผ้า กีฬา อุปกรณ์ กีฬา ครรบวงจร,50/3  หมู่ที่ 6,ต.เสาเภา,อ.สิชล,จ.นครศรีธรรมราช,80340
หส.พร้อมเบเกอรี่,ประกอบกิจการค้า ผัก ผลไม้ หน่อไม้ พริกไทย พืชสวน บุหรี่ ยาเส้น เครื่องดื่ม น้ำดื่ม น้ำแร่ น้ำผลไม้ สุรา เบียร์ อาหารสด อาหารแห้ง อาหารสำเร็จรูป อาหารทะเลบรรจุกระป๋อง เครื่องกระป๋อง เครื่องปรุงรสอาหาร น้ำซอส น้ำตาล น้ำมันพืช อาหารสัตว์ และเครื่องบริโภคอื่น,341  ซอย 11 ถนนเพชรเกษม,ต.หาดใหญ่,อ.หาดใหญ่,จ.สงขลา,90110
หจ.ออฟฟิศเวคเตอร์,ประกอบกิจการค้า กระดาษ เครื่องเขียน แบบเรียน แบบพิมพ์ หนังสือ อุปกรณ์การเรียนการสอน อุปกรณ์การถ่ายภาพและภาพยนตร์ เครื่องคำนวณ เครื่องพิมพ์ อุปกรณ์การพิมพ์ สิ่งพิมพ์ หนังสือพิมพ์ ตู้เก็บเอกสาร เครื่องใช้สำนักงาน เครื่องมือสื่อสาร คอมพิวเตอร์ รวมทั้งอุปกรณ์และอะไหล่ของสินค้าดังกล่าว,148/1381  หมู่ที่ 10 ซอย รามคำแหง 190 ถนนรามคำแหง,แขวงมีนบุรี,เขตมีนบุรี,กรุงเทพมหานคร,10510
หจ.บ้านกุ๊กไก่,ประกอบกิจการค้า ผัก ผลไม้ หน่อไม้ พริกไทย พืชสวน บุหรี่ ยาเส้น เครื่องดื่ม น้ำดื่ม น้ำแร่ น้ำผลไม้ สุรา เบียร์ อาหารสด อาหารแห้ง อาหารสำเร็จรูป อาหารทะเลบรรจุกระป๋อง เครื่องกระป๋อง เครื่องปรุงรสอาหาร น้ำซอส น้ำตาล น้ำมันพืช อาหารสัตว์ และเครื่องบริโภคอื่น,"32,34  ซอย จุฬา3,จุฬาซอย 14 ถนนบรรทัดทอง",แขวงวังใหม่,เขตปทุมวัน,กรุงเทพมหานคร,10330
หจ.เจริญความรวย,ประกอบกิจการค้า เครื่องสำอาง อุปกรณ์เครื่องมือและเครื่องใช้เสริมความงามและสุขภาพ,39/50  หมู่บ้าน พฤกษ์ลดา ทางด่วนรามอินทรา-จตุโชติ ซอย 8 ถนนหนองระแหง,แขวงสามวาตะวันตก,เขตคลองสามวา,กรุงเทพมหานคร,10510
หจ.เอ็นทีแอล สกรีน ซัพพลาย,ประกอบกิจการรับจ้างพิมพ์ รับจ้างสกรีนลวดลาย ตัวอักษร เครื่องหมาย หรือรูปภาพ ลงบนวัสดุและสินค้าทุกชนิด เช่น แก้ว พลาสติก โลหะ ผ้า และของใช้ต่าง ๆ,109  ซอย เอกชัย 69/1,แขวงคลองบางบอน,เขตบางบอน,กรุงเทพมหานคร,10150
หจ.รับทรัพย์ถาวร 36,จำหน่ายดอกไม้ประดิษฐ และกระถางต้นไม้ทุกชนิด,60  ซอยกำนันแม้น 13 แยก 33,แขวงคลองบางพราน,เขตบางบอน,กรุงเทพมหานคร,10150
หจ.ลินนี่เฮงรับทรัพย์,ประกอบกิจการค้าปลีก-ค้าส่งสินค้า ของที่ระลึก ผ่านระบบอินเทอร์เน็ต หรือ พาณิชย์อิเล็กทรอนิกส์ (E-commerce),59/25  ซอย รามคำแหง 140,แขวงราษฎร์พัฒนา,เขตสะพานสูง,กรุงเทพมหานคร,10240
หจ.ไอรอนโปร,ซื้อขาย เศษเหล็กประมูลงานตามโรงงานอุตสาหกรรม,511/885  ถนนจรัญสนิทวงศ์,แขวงบางขุนศรี,เขตบางกอกน้อย,กรุงเทพมหานคร,10700
หจ.ฟีนิกซ์ ดีพี9465,ประกอบธุรกิจบริการรับเป็นที่ปรึกษาให้ความรู้และคำแนะนำด้านการขาย บริหารงานและพัฒนาคุณภาพบุคคลากรขาย ส่งเสริมการขาย การรับจ้างบริหารงานขาย,716  ถนนจรัญสนิทวงศ์,แขวงบางอ้อ,เขตบางพลัด,กรุงเทพมหานคร,10700
