name,objective,place_t,plcae_e,place,post_num
หส.นิจิช็อป,ประกอบกิจการค้า ผ้า ผ้าทอจากใยสังเคราะห์ ด้าย ด้ายยางยืด เส้นใยไนล่อน ใยสังเคราะห์ เส้นด้ายยืด เครื่องนุ่งห่ม เสื้อผ้าสำเร็จรูป เครื่องแต่งกาย เครื่องประดับกาย ถุงเท้า ถุงน่อง เครื่องหนัง รองเท้า กระเป๋า เครื่องอุปโภคอื่น สิ่งทอ อุปกรณ์การเล่นกีฬา,แขวงบางชัน,เขตคลองสามวา,กรุงเทพมหานคร,10510
หส.ทรัพย์ แอนด์ ซัน แลนด์,ประกอบกิจการให้เช่าอสังหาริมทรัพย์,แขวงทุ่งพญาไท,เขตราชเทวี,กรุงเทพมหานคร,10400
หส.บุญส่งอานนท์,ประกอบธุรกิจบริการรับเป็นผู้จัดการและดูแลผลประโยชน์ เก็บผลประโยชน์และจัดการทรัพย์สินให้บุคคลอื่น,ต.บางครุ,อ.พระประแดง,จ.สมุทรปราการ,10130
หส.ออโรร่า บราเธอร์ส,การบริการด้านอาหารในภัตตาคาร/ร้านอาหาร,ต.โนนผึ้ง,อ.วารินชำราบ,จ.อุบลราชธานี,34190
หส.พร้อมเบเกอรี่,ประกอบกิจการค้า ผัก ผลไม้ หน่อไม้ พริกไทย พืชสวน บุหรี่ ยาเส้น เครื่องดื่ม น้ำดื่ม น้ำแร่ น้ำผลไม้ สุรา เบียร์ อาหารสด อาหารแห้ง อาหารสำเร็จรูป อาหารทะเลบรรจุกระป๋อง เครื่องกระป๋อง เครื่องปรุงรสอาหาร น้ำซอส น้ำตาล น้ำมันพืช อาหารสัตว์ และเครื่องบริโภคอื่น,ต.หาดใหญ่,อ.หาดใหญ่,จ.สงขลา,90110
หจ.สุภปรัชญ์,ขายอาหาร เครื่องดื่ม ภัตตาคาร บาร์ ไนท์คลับ,แขวงคลองตันเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
หจ.วี.เอส.ซี เอนจิเนียริ่ง,ขายและติดตั้งเครื่องปรับอากาศและเฝรชแอร์,แขวงบางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,10800
หจ.ไมโครอีเลคทรอนิคส์ เซลส์ แอนด์ เซอร์วิส,ประกอบกิจการรับซ่อมวิทยุ โทรศัพท์ และเครื่องอีเลคโทรนิคส์,แขวงมักกะสัน,เขตราชเทวี,กรุงเทพมหานคร,10400
หจ.ทาวน์,ประกอบกิจการรับจัดธุรกิจให้ผู้อื่น,แขวงลาดยาว,เขตจตุจักร,กรุงเทพมหานคร,10900
หจ.บำรุงดีดี,ประกอบกิจการจำหน่ายสินค้าอุปโภคบริโภคทุกชนิด,แขวงมีนบุรี,เขตมีนบุรี,กรุงเทพมหานคร,10510
หจ.กิจเจริญ โลหะกิจ,ประกอบกิจการรับเป็นนายหน้า หรือตัวแทน รับจ้างผลิตงานโลหะ เช่นงานกลึง งานมิลลิ่ง ต่างๆและงานกลึงทุกชนิด,ต.ท่าฬ่อ,อ.เมืองพิจิตร,จ.พิจิตร,66000
หจ.รธนา เฮลท์แลนด์,ประกอบกิจการค้า สินค้าอุปโภค เครื่องใช้ไฟฟ้า อาหารเสริมสุขภาพ สินค้าเบ็ดเตล็ดทุกชนิด,แขวงบางแค,เขตบางแค,กรุงเทพมหานคร,10160
หจ.สตาร์ออโต้ เทรดดิ้ง,ซื้อมา ขายไป อะไหล่รถยนต์ ยางรถยนต์ ล้อแม๊กซ์ และเครื่องมือช่าง,แขวงท่าข้าม,เขตบางขุนเทียน,กรุงเทพมหานคร,10150
หจ.เยลโล สฟิงซ์,การขายส่งหนังสือหนังสือพิมพ์และเครื่องเขียน,แขวงอรุณอมรินทร์,เขตบางกอกน้อย,กรุงเทพมหานคร,10700
หจ.มูฟ เอแซป,ประกอบกิจการเกี่ยวกับการออกแบบจัดทำโฆษณาด้วยวิธีการต่างๆ ผลิตสื่อโฆษณา ทุกชนิด เกี่ยวกับโฆษณาทาววิทยุและโทรทัศน์ ด้วยวิธีการต่างๆ,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230
หจ.นิคพัฒน์,บริการซัก อบ รีด เสื้อผ้า โดยเครื่องซักผ้าหยอดเหรียญอัตโนมัติทุกชนิด,แขวงฉิมพลี,เขตตลิ่งชัน,กรุงเทพมหานคร,10170
หจ.โลคอล เอ็นเตอร์ไพรส์,การขายปลีกอุปกรณ์ที่เกี่ยวกับภาพและเสียงในร้านเฉพาะ,แขวงรามอินทรา,เขตคันนายาว,กรุงเทพมหานคร,10230
หจ.อุดมสุข89,ประกอบกิจการจำหน่ายเครื่องสำอางและอาหารเสริมทุกชนิด ทุกประเภท,แขวงคลองสองต้นนุ่น,เขตลาดกระบัง,กรุงเทพมหานคร,10520
หจ.มูนไลท์ บางกอก,ประกอบกิจการร้านอาหาร ภัตตาคาร ไนท์คลับ สถานบันเทิงครบวงจร,แขวงคลองจั่น,เขตบางกะปิ,กรุงเทพมหานคร,10240
หจ.ช.การช่าง  คอนสตรัคชั่น,ประกอบกิจการรับเหมาก่อสร้าง อาคารที่พักอาศัย โยธาทุกประเภท,แขวงมีนบุรี,เขตมีนบุรี,กรุงเทพมหานคร,10510
หจ.บีแฮปปี้ 2024,การบริการด้านอาหารในภัตตาคาร/ร้านอาหาร,แขวงนวมินทร์,เขตบึงกุ่ม,กรุงเทพมหานคร,10240
หจ.ชินภัทร  คาร์วอช,ประกอบกิจการรับเหมาก่อสร้าง อาคารทุกชนิด,แขวงมีนบุรี,เขตมีนบุรี,กรุงเทพมหานคร,10510
หจ.จานหลัก,ประกอบกิจการร้านอาหาร (ภัตตาคาร),แขวงพระโขนงเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
หจ.ท็อดแอนด์คิดส์ทอยส์,ประกอบกิจการจำหน่ายของเล่นเด็ก,แขวงศาลาธรรมสพน์,เขตทวีวัฒนา,กรุงเทพมหานคร,10170
หจ.วีว่า โฟโต้,ประกอบกิจการส่วนบุคคลด้วยเครื่องหยอดเหรียญ เช่น ตู้ถ่ายภาพแบบหยอดเหรียญ บริการถ่ายภาพด้วยเครื่องถ่าย แบบหยอดเหรียญ,แขวงสุริยวงศ์,เขตบางรัก,กรุงเทพมหานคร,10500
หจ.เอเท็น คอมเมิร์ซ,ประกอบกิจการเอเจนซี่รับทำโฆษณา จัดทำสื่อ ยิงแอดออนไลน์ อินฟลูเอนเซอร์ ครีเอทีฟคอนเทนต์ทุกประเภท,แขวงทุ่งวัดดอน,เขตสาทร,กรุงเทพมหานคร,10120
หจ.ออร่า เอเจนซี่,ประกอบกิจการเอเจนซี่รับทำโฆษณา จัดทำสื่อ ยิงแอดออนไลน์ อินฟลูเอนเซอร์ ครีเอทีฟคอนเทนต์ทุกประเภท,แขวงทุ่งวัดดอน,เขตสาทร,กรุงเทพมหานคร,10120
หจ.เลิศรดา คอนสตรัคชั่น,ประกอบกิจการรับเหมาก่อสร้าง สร้างอาคาร ที่พักอาศัย อาคาร สำนักงาน,แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,10220
หจ.อาร์.อาร์. สตีล,จำหน่ายเหล็กทุกประเภท,ต.บางเพรียง,อ.บางบ่อ,จ.สมุทรปราการ,10560
หจ.ซัน แอนด์ กรีน เอ็นเนอร์ยี่ (2555),ประกอบกิจการจำหน่าย ผลผลิตภัณฑ์ การเกษตร,ต.บางพลีใหญ่,อ.บางพลี,จ.สมุทรปราการ,10540
หจ.ซีที.เอส รุ่งเรือง,ประกอบกิจการบริการด้านอาหารในภัตตาคาร/ร้านอาหาร,ต.บางครุ,อ.พระประแดง,จ.สมุทรปราการ,10130
หจ.อย่างเหนือ,การบริการด้านอาหารในภัตตาคาร/ร้านอาหาร,ต.บางแก้ว,อ.บางพลี,จ.สมุทรปราการ,10540
หจ.เทียน ปิโตรเลียม,ประกอบกิจการค้า น้ำมันเชื้อเพลิง ถ่านหิน ผลิตภัณฑ์อย่างอื่นที่ก่อให้เกิดพลังงานและสถานีบริการน้ำมัน,ต.ไทรม้า,อ.เมืองนนทบุรี,จ.นนทบุรี,11000
หจ.ไทย เอเซีย ทรานสปอร์ต,ประกอบกิจการขนส่งและขนถ่าสินค้า และคนโดยสาร ฯ,ต.ละหาร,อ.บางบัวทอง,จ.นนทบุรี,11110
หจ.อภิชาต ไบโอ เทรด,ผลิตและจำหน่ายถุงมือแพทย์ ถุงมือยาง ถุงมือไนไตร และถุงมืออื่นๆ จากยางพารา,ต.บางตลาด,อ.ปากเกร็ด,จ.นนทบุรี,11120
หจ.มภัสกาญ คอนสตรัคชั่น,ประกอบกิจการรับเหมาก่อสร้าง,ต.บางบัวทอง,อ.บางบัวทอง,จ.นนทบุรี,11110
หจ.เปเปอร์เพลนส์ ครีเอทีฟ,ประกอบกิจการออกแบบกราฟฟิค เว็ปไซค์ นิตยสาร,ต.มหาสวัสดิ์,อ.บางกรวย,จ.นนทบุรี,11130
หจ.ปาวตี คอนเซปต์,ประกอบกิจการ การติดตั้งส่วนประกอบอาคารและการตกแต่งภายใน,ต.ท่าอิฐ,อ.ปากเกร็ด,จ.นนทบุรี,11120
หจ.ทริปเปิ้ล เบิร์ด,ประกอบกิจการให้บริการติดตั้งระบบ (service integration),ต.ท่าทราย,อ.เมืองนนทบุรี,จ.นนทบุรี,11000
หจ.เอสดับบลิวเอส 888 ทรัพย์เจริญรุ่งเรืองกิจ,การก่อสร้างอาคารที่พักอาศัย,ต.หนองเพรางาย,อ.ไทรน้อย,จ.นนทบุรี,11150
หจ.วีเวอชวล,กิจกรรมการผลิตภาพยนตร์และวีดิทัศน์,ต.บางพูด,อ.ปากเกร็ด,จ.นนทบุรี,11120
หจ.ป่านชนก ฟลาวเวอร์,ประกอบกิจการผลิตดอกไม้และต้นไม้ประดิษฐ์,ต.ไทรใหญ่,อ.ไทรน้อย,จ.นนทบุรี,11150
หจ.ซิมเพิล  คอลซูลแทนท์,ที่ปรึกษาด้านพาณิชยกรรม อุตสาหกรรม,ต.บางกระสอ,อ.เมืองนนทบุรี,จ.นนทบุรี,11000
หจ.31 บีกิน,ผลิตสื่อโฆษณาและประชาสัมพันธ์ทุกรูปแบบ,ต.คูคต,อ.ลำลูกกา,จ.ปทุมธานี,12130
หจ.แอวสะออน,ประกอบกิจการรับบริการ จัดการ ประชาสัมพันธ์เปิดตัวสินค้างานแสดงผลิตภัณฑ์ทุกประเภท,ต.คลองสาม,อ.คลองหลวง,จ.ปทุมธานี,12120
หจ.พารวย168,ประกอบกิจการขายปลีก สินค้าอุปโภค บริโภค ทุกชนิด,ต.บึงยี่โถ,อ.ธัญบุรี,จ.ปทุมธานี,12130
